energy_MeV,niel_MeV_cm2_g
0.0001,0.0
0.00015,0.0
0.0002,0.0
0.00025,0.0
0.0003,0.0
0.00035,0.0
0.0004,0.0
0.00045,0.0
0.0005,0.0
0.00055,0.0
0.0006,0.0
0.00065,0.0
0.0007,0.0056649
0.00075,0.046722
0.0008,0.083842
0.00085,0.11757
0.0009,0.14835
0.00095,0.17654
0.001,0.20245
0.0015,0.37827
0.002,0.52859
0.0025,0.62742
0.003,0.68986
0.0035,0.73017
0.004,0.75618
0.0045,0.77253
0.005,0.78218
0.0055,0.78706
0.006,0.78847
0.0065,0.78735
0.007,0.78436
0.0075,0.77997
0.008,0.77455
0.0085,0.76837
0.009,0.76163
0.0095,0.75448
0.01,0.74705
0.015,0.6704
0.02,0.60325
0.025,0.54799
0.03,0.50244
0.035,0.46443
0.04,0.43225
0.045,0.40465
0.05,0.38071
0.055,0.35972
0.06,0.34116
0.065,0.32461
0.07,0.30975
0.075,0.29634
0.08,0.28415
0.085,0.27303
0.09,0.26283
0.095,0.25344
0.1,0.24477
0.15,0.18401
0.2,0.14885
0.25,0.12567
0.3,0.10913
0.35,0.096689
0.4,0.086892
0.45,0.078979
0.5,0.072514
0.55,0.067123
0.6,0.062552
0.65,0.058623
0.7,0.055205
0.75,0.052202
0.8,0.049542
0.85,0.047166
0.9,0.045031
0.95,0.0431
1.0,0.041345
1.5,0.02924
2.0,0.022697
2.5,0.018629
3.0,0.015843
3.5,0.01381
4.0,0.012258
4.5,0.011033
5.0,0.010039
5.5,0.0092183
6.0,0.0085359
6.5,0.007969
7.0,0.0074878
7.5,0.0070677
8.0,0.0066951
8.5,0.0063625
9.0,0.0060648
9.5,0.005798
10.0,0.0055583
15.0,0.0040999
20.0,0.0034463
25.0,0.0030836
30.0,0.0028519
35.0,0.0026895
40.0,0.0025685
45.0,0.002475
50.0,0.0024017
55.0,0.0023439
60.0,0.0022987
65.0,0.0022636
70.0,0.0022368
75.0,0.0022166
80.0,0.0022018
85.0,0.0021912
90.0,0.0021837
95.0,0.0021786
100.0,0.0021752
150.0,0.0021593
200.0,0.0021297
250.0,0.0021239
300.0,0.0021618
350.0,0.0022363
400.0,0.0023313
450.0,0.0024316
500.0,0.0025267
550.0,0.0026114
600.0,0.0026854
650.0,0.0027511
700.0,0.0028119
750.0,0.0028702
800.0,0.0029264
850.0,0.0029777
900.0,0.0030176
950.0,0.0030354
1000.0,0.0030171
