energy_MeV,niel_MeV_cm2_g
0.04,0.0
0.045,0.0
0.05,5.1364e-07
0.055,1.7505e-06
0.06,2.701e-06
0.065,3.4447e-06
0.07,4.0354e-06
0.075,4.5106e-06
0.08,4.8973e-06
0.085,5.215e-06
0.09,5.4784e-06
0.095,5.6986e-06
0.1,5.8839e-06
0.15,7.5224e-06
0.2,8.2828e-06
0.25,8.7154e-06
0.3,9.0354e-06
0.35,9.3107e-06
0.4,9.5659e-06
0.45,9.8109e-06
0.5,1.0216e-05
0.55,1.1302e-05
0.6,1.2491e-05
0.65,1.3733e-05
0.7,1.4997e-05
0.75,1.6263e-05
0.8,1.7518e-05
0.85,1.8753e-05
0.9,1.9962e-05
0.95,2.1144e-05
1.0,2.2295e-05
1.5,3.2184e-05
2.0,3.9749e-05
2.5,4.5781e-05
3.0,5.0767e-05
3.5,5.5e-05
4.0,5.8666e-05
4.5,6.1891e-05
5.0,6.4765e-05
5.5,6.7351e-05
6.0,6.9698e-05
6.5,7.1843e-05
7.0,7.3815e-05
7.5,7.5637e-05
8.0,7.7329e-05
8.5,7.8905e-05
9.0,8.0379e-05
9.5,8.1761e-05
10.0,8.3061e-05
15.0,9.2838e-05
20.0,9.904e-05
25.0,0.00010325
30.0,0.00010621
35.0,0.00010831
40.0,0.0001098
45.0,0.00011086
50.0,0.0001116
55.0,0.0001121
60.0,0.00011243
65.0,0.00011264
70.0,0.00011275
75.0,0.00011279
80.0,0.00011278
85.0,0.00011273
90.0,0.00011266
95.0,0.00011257
100.0,0.00011247
