energy_MeV,niel_MeV_cm2_g
0.0001,1.7836
0.00015,2.2546
0.0002,2.4935
0.00025,2.6225
0.0003,2.6913
0.00035,2.7243
0.0004,2.7347
0.00045,2.8128
0.0005,2.8707
0.00055,2.9126
0.0006,2.9423
0.00065,2.9627
0.0007,2.9759
0.00075,2.9834
0.0008,2.9864
0.00085,2.9859
0.0009,2.9824
0.00095,2.9767
0.001,2.969
0.0015,2.8425
0.002,2.6951
0.0025,2.557
0.003,2.4326
0.0035,2.3215
0.004,2.222
0.0045,2.1325
0.005,2.0515
0.0055,1.9777
0.006,1.9102
0.0065,1.8482
0.007,1.791
0.0075,1.7379
0.008,1.6886
0.0085,1.6425
0.009,1.5994
0.0095,1.559
0.01,1.5209
0.015,1.2339
0.02,1.0487
0.025,0.91736
0.03,0.81854
0.035,0.74103
0.04,0.67834
0.045,0.62644
0.05,0.58267
0.055,0.54511
0.06,0.51258
0.065,0.48411
0.07,0.45896
0.075,0.43655
0.08,0.41644
0.085,0.39828
0.09,0.3818
0.095,0.36675
0.1,0.35296
0.15,0.25914
0.2,0.20593
0.25,0.17171
0.3,0.14775
0.35,0.12985
0.4,0.11597
0.45,0.10492
0.5,0.095926
0.55,0.088454
0.6,0.08214
0.65,0.076729
0.7,0.072036
0.75,0.067924
0.8,0.06429
0.85,0.061054
0.9,0.058151
0.95,0.055532
1.0,0.053157
1.5,0.037045
2.0,0.028487
2.5,0.023222
3.0,0.019652
3.5,0.017075
4.0,0.015187
4.5,0.013702
5.0,0.012474
5.5,0.011462
6.0,0.010631
6.5,0.0099496
7.0,0.0093775
7.5,0.0088809
8.0,0.0084408
8.5,0.0080467
9.0,0.0076922
9.5,0.0073724
10.0,0.0070832
15.0,0.0053138
20.0,0.0045563
25.0,0.0041557
30.0,0.0038968
35.0,0.0037034
40.0,0.0035483
45.0,0.003421
50.0,0.0033165
55.0,0.0032312
60.0,0.003162
65.0,0.0031064
70.0,0.003062
75.0,0.0030266
80.0,0.0029985
85.0,0.002976
90.0,0.002958
95.0,0.0029434
100.0,0.0029312
150.0,0.0028497
200.0,0.0027799
250.0,0.0027576
300.0,0.002799
350.0,0.0028902
400.0,0.0030089
450.0,0.003135
500.0,0.0032547
550.0,0.0033614
600.0,0.0034544
650.0,0.0035367
700.0,0.0036122
750.0,0.0036843
800.0,0.0037534
850.0,0.0038164
900.0,0.0038654
950.0,0.0038879
1000.0,0.0038675
