energy_MeV,niel_MeV_cm2_g
0.04,0.0
0.045,6.3336e-07
0.05,1.2918e-06
0.055,1.7826e-06
0.06,2.1562e-06
0.065,2.4455e-06
0.07,2.6729e-06
0.075,2.8537e-06
0.08,2.9992e-06
0.085,3.1171e-06
0.09,3.2136e-06
0.095,3.2931e-06
0.1,3.359e-06
0.15,3.6491e-06
0.2,3.7194e-06
0.25,3.7525e-06
0.3,3.7837e-06
0.35,3.8203e-06
0.4,3.8629e-06
0.45,3.9106e-06
0.5,3.9621e-06
0.55,4.0164e-06
0.6,4.0726e-06
0.65,4.13e-06
0.7,4.1881e-06
0.75,4.2465e-06
0.8,4.3049e-06
0.85,4.58e-06
0.9,4.9833e-06
0.95,5.4595e-06
1.0,5.989e-06
1.5,1.2831e-05
2.0,2.0134e-05
2.5,2.6435e-05
3.0,3.1759e-05
3.5,3.6299e-05
4.0,4.0223e-05
4.5,4.3662e-05
5.0,4.6712e-05
5.5,4.9443e-05
6.0,5.191e-05
6.5,5.4156e-05
7.0,5.6213e-05
7.5,5.8107e-05
8.0,5.9859e-05
8.5,6.1488e-05
9.0,6.3007e-05
9.5,6.4428e-05
10.0,6.5762e-05
15.0,7.5715e-05
20.0,8.1957e-05
25.0,8.6154e-05
30.0,8.906e-05
35.0,9.1089e-05
40.0,9.2499e-05
45.0,9.3464e-05
50.0,9.4106e-05
55.0,9.4513e-05
60.0,9.4748e-05
65.0,9.4858e-05
70.0,9.4879e-05
75.0,9.4837e-05
80.0,9.4749e-05
85.0,9.463e-05
90.0,9.4491e-05
95.0,9.4339e-05
100.0,9.4179e-05
