energy_MeV,niel_MeV_cm2_g
0.0001,0.32104
0.00015,0.39262
0.0002,0.43467
0.00025,0.46156
0.0003,0.47947
0.00035,0.4916
0.0004,0.49976
0.00045,0.50512
0.0005,0.50841
0.00055,0.51017
0.0006,0.51075
0.00065,0.51043
0.0007,0.5094
0.00075,0.50782
0.0008,0.5058
0.00085,0.54092
0.0009,0.57363
0.00095,0.60317
0.001,0.62995
0.0015,0.81285
0.002,0.93689
0.0025,1.0019
0.003,1.036
0.0035,1.0521
0.004,1.0574
0.0045,1.0556
0.005,1.0494
0.0055,1.0402
0.006,1.0291
0.0065,1.0168
0.007,1.0036
0.0075,0.98997
0.008,0.97612
0.0085,0.96221
0.009,0.94836
0.0095,0.93464
0.01,0.92113
0.015,0.80139
0.02,0.70903
0.025,0.63708
0.03,0.57961
0.035,0.53262
0.04,0.49342
0.045,0.46017
0.05,0.43158
0.055,0.40669
0.06,0.38481
0.065,0.3654
0.07,0.34805
0.075,0.33244
0.08,0.31831
0.085,0.30544
0.09,0.29368
0.095,0.28288
0.1,0.27292
0.15,0.20388
0.2,0.16444
0.25,0.13861
0.3,0.12026
0.35,0.10647
0.4,0.095504
0.45,0.08667
0.5,0.07944
0.55,0.073419
0.6,0.068321
0.65,0.063943
0.7,0.06014
0.75,0.056803
0.8,0.053849
0.85,0.051214
0.9,0.048847
0.95,0.046709
1.0,0.044767
1.5,0.031566
2.0,0.02445
2.5,0.020035
3.0,0.017018
3.5,0.014832
4.0,0.013176
4.5,0.011871
5.0,0.010814
5.5,0.0099413
6.0,0.0092171
6.5,0.0086166
7.0,0.0081078
7.5,0.0076642
8.0,0.0072711
8.5,0.0069206
9.0,0.0066073
9.5,0.0063266
10.0,0.0060747
15.0,0.0045479
20.0,0.0038652
25.0,0.003483
30.0,0.003236
35.0,0.0030611
40.0,0.0029299
45.0,0.0028279
50.0,0.0027474
55.0,0.0026833
60.0,0.0026324
65.0,0.0025921
70.0,0.0025604
75.0,0.0025356
80.0,0.0025163
85.0,0.0025014
90.0,0.0024898
95.0,0.0024808
100.0,0.0024736
150.0,0.0024283
200.0,0.0023826
250.0,0.0023703
300.0,0.0024081
350.0,0.002486
400.0,0.0025863
450.0,0.0026926
500.0,0.0027936
550.0,0.0028838
600.0,0.0029628
650.0,0.0030331
700.0,0.003098
750.0,0.0031602
800.0,0.00322
850.0,0.0032743
900.0,0.0033163
950.0,0.003335
1000.0,0.0033159
