energy_MeV,niel_MeV_cm2_g
0.04,0.0
0.045,0.0
0.05,0.0
0.055,5.3638e-07
0.06,1.5921e-06
0.065,3.0378e-06
0.07,4.1989e-06
0.075,5.1442e-06
0.08,5.9227e-06
0.085,6.5706e-06
0.09,7.1148e-06
0.095,7.5759e-06
0.1,7.9695e-06
0.15,9.981e-06
0.2,1.0705e-05
0.25,1.1105e-05
0.3,1.1405e-05
0.35,1.1671e-05
0.4,1.1926e-05
0.45,1.2178e-05
0.5,1.2429e-05
0.55,1.2678e-05
0.6,1.2926e-05
0.65,1.3172e-05
0.7,1.3416e-05
0.75,1.3657e-05
0.8,1.3894e-05
0.85,1.4128e-05
0.9,1.4358e-05
0.95,1.4584e-05
1.0,1.4806e-05
1.5,2.3948e-05
2.0,3.4124e-05
2.5,4.2031e-05
3.0,4.8178e-05
3.5,5.3101e-05
4.0,5.7159e-05
4.5,6.0586e-05
5.0,6.3536e-05
5.5,6.6117e-05
6.0,6.8402e-05
6.5,7.0447e-05
7.0,7.2293e-05
7.5,7.397e-05
8.0,7.5504e-05
8.5,7.6913e-05
9.0,7.8213e-05
9.5,7.9417e-05
10.0,8.0535e-05
15.0,8.8464e-05
20.0,9.2861e-05
25.0,9.5344e-05
30.0,9.6662e-05
35.0,9.724e-05
40.0,9.7349e-05
45.0,9.7165e-05
50.0,9.6807e-05
55.0,9.6352e-05
60.0,9.5853e-05
65.0,9.5342e-05
70.0,9.484e-05
75.0,9.4359e-05
80.0,9.3906e-05
85.0,9.3483e-05
90.0,9.3091e-05
95.0,9.273e-05
100.0,9.2398e-05
