energy_MeV,niel_MeV_cm2_g
0.0001,2.1113
0.00015,2.6704
0.0002,2.9543
0.00025,3.1077
0.0003,3.1897
0.00035,3.229
0.0004,3.2415
0.00045,3.2364
0.0005,3.2197
0.00055,3.195
0.0006,3.1651
0.00065,3.1316
0.0007,3.0957
0.00075,3.0584
0.0008,3.0203
0.00085,2.9818
0.0009,2.9433
0.00095,2.9049
0.001,2.867
0.0015,2.5946
0.002,2.3897
0.0025,2.2188
0.003,2.0758
0.0035,1.9546
0.004,1.8507
0.0045,1.7603
0.005,1.6808
0.0055,1.6102
0.006,1.547
0.0065,1.49
0.007,1.4382
0.0075,1.3909
0.008,1.3475
0.0085,1.3074
0.009,1.2703
0.0095,1.2358
0.01,1.2036
0.015,0.96814
0.02,0.82147
0.025,0.71913
0.03,0.6427
0.035,0.58297
0.04,0.53474
0.045,0.49481
0.05,0.46111
0.055,0.43212
0.06,0.40699
0.065,0.38498
0.07,0.36552
0.075,0.34817
0.08,0.33259
0.085,0.31851
0.09,0.30572
0.095,0.29405
0.1,0.28334
0.15,0.21026
0.2,0.16818
0.25,0.14094
0.3,0.12148
0.35,0.10694
0.4,0.095674
0.45,0.086662
0.5,0.079279
0.55,0.073114
0.6,0.067881
0.65,0.063382
0.7,0.059464
0.75,0.056026
0.8,0.05299
0.85,0.050288
0.9,0.047866
0.95,0.045682
1.0,0.043702
1.5,0.030785
2.0,0.024014
2.5,0.019617
3.0,0.016627
3.5,0.014471
4.0,0.012909
4.5,0.011679
5.0,0.010654
5.5,0.0098082
6.0,0.009106
6.5,0.0085154
7.0,0.0080106
7.5,0.0075724
8.0,0.007186
8.5,0.0068409
9.0,0.0065297
9.5,0.0062469
10.0,0.0059885
15.0,0.0042933
20.0,0.0034491
25.0,0.0029495
30.0,0.0026052
35.0,0.0023417
40.0,0.0021289
45.0,0.0019529
50.0,0.0018054
55.0,0.0016805
60.0,0.0015736
65.0,0.0014811
70.0,0.0014003
75.0,0.001329
80.0,0.0012655
85.0,0.0012086
90.0,0.0011572
95.0,0.0011105
100.0,0.0010678
150.0,0.00078304
200.0,0.00063724
250.0,0.00055493
300.0,0.00050499
350.0,0.00047279
400.0,0.0004509
450.0,0.00043531
500.0,0.00042374
550.0,0.00041485
600.0,0.00040775
650.0,0.00040183
700.0,0.00039666
750.0,0.00039191
800.0,0.00038738
850.0,0.00038303
900.0,0.00037898
950.0,0.00037555
1000.0,0.00037323
