energy_MeV,niel_MeV_cm2_g
0.04,4.5425e-05
0.045,4.581e-05
0.05,4.5775e-05
0.055,4.5494e-05
0.06,4.5072e-05
0.065,4.457e-05
0.07,4.4026e-05
0.075,4.3465e-05
0.08,4.2902e-05
0.085,4.2346e-05
0.09,4.1804e-05
0.095,4.128e-05
0.1,4.0776e-05
0.15,3.685e-05
0.2,3.4466e-05
0.25,3.2984e-05
0.3,3.204e-05
0.35,3.1432e-05
0.4,3.1047e-05
0.45,3.0814e-05
0.5,3.069e-05
0.55,3.0932e-05
0.6,3.1592e-05
0.65,3.2376e-05
0.7,3.324e-05
0.75,3.4152e-05
0.8,3.509e-05
0.85,3.6038e-05
0.9,3.6988e-05
0.95,3.7932e-05
1.0,3.8864e-05
1.5,4.7211e-05
2.0,5.3833e-05
2.5,5.9194e-05
3.0,6.3661e-05
3.5,6.7472e-05
4.0,7.0786e-05
4.5,7.3709e-05
5.0,7.6318e-05
5.5,7.8671e-05
6.0,8.0808e-05
6.5,8.2764e-05
7.0,8.4565e-05
7.5,8.6229e-05
8.0,8.7776e-05
8.5,8.9218e-05
9.0,9.0567e-05
9.5,9.1832e-05
10.0,9.3022e-05
15.0,0.00010198
20.0,0.00010763
25.0,0.00011142
30.0,0.00011402
35.0,0.00011582
40.0,0.00011704
45.0,0.00011785
50.0,0.00011836
55.0,0.00011866
60.0,0.00011881
65.0,0.00011885
70.0,0.00011881
75.0,0.00011871
80.0,0.00011858
85.0,0.00011842
90.0,0.00011825
95.0,0.00011808
100.0,0.00011789
