energy_MeV,niel_MeV_cm2_g
0.0001,0.81692
0.00015,0.92808
0.0002,0.99497
0.00025,1.0386
0.0003,1.0683
0.00035,1.0888
0.0004,1.1031
0.00045,1.1256
0.0005,1.1827
0.00055,1.2308
0.0006,1.2716
0.00065,1.3066
0.0007,1.3367
0.00075,1.3628
0.0008,1.3855
0.00085,1.4053
0.0009,1.4226
0.00095,1.4378
0.001,1.4512
0.0015,1.5201
0.002,1.5304
0.0025,1.5176
0.003,1.4945
0.0035,1.4666
0.004,1.4368
0.0045,1.4065
0.005,1.3763
0.0055,1.3469
0.006,1.3183
0.0065,1.2907
0.007,1.2641
0.0075,1.2386
0.008,1.2141
0.0085,1.1906
0.009,1.1681
0.0095,1.1464
0.01,1.1257
0.015,0.95676
0.02,0.83684
0.025,0.7469
0.03,0.67659
0.035,0.61988
0.04,0.57302
0.045,0.53356
0.05,0.49979
0.055,0.47051
0.06,0.44485
0.065,0.42216
0.07,0.40191
0.075,0.38373
0.08,0.36729
0.085,0.35235
0.09,0.33875
0.095,0.3263
0.1,0.31484
0.15,0.23541
0.2,0.19004
0.25,0.16033
0.3,0.13892
0.35,0.12281
0.4,0.11039
0.45,0.10055
0.5,0.09249
0.55,0.085759
0.6,0.080043
0.65,0.075122
0.7,0.070837
0.75,0.067067
0.8,0.063722
0.85,0.060733
0.9,0.058043
0.95,0.055609
1.0,0.053394
1.5,0.037681
2.0,0.029184
2.5,0.02391
3.0,0.020309
3.5,0.01769
4.0,0.015696
4.5,0.014126
5.0,0.012857
5.5,0.011808
6.0,0.010935
6.5,0.010209
7.0,0.0096002
7.5,0.0090727
8.0,0.0086049
8.5,0.0081863
9.0,0.0078106
9.5,0.0074732
10.0,0.0071699
15.0,0.0053489
20.0,0.0045636
25.0,0.0041226
30.0,0.0038349
35.0,0.0036375
40.0,0.0034998
45.0,0.0034032
50.0,0.0033351
55.0,0.0032871
60.0,0.0032534
65.0,0.0032298
70.0,0.0032135
75.0,0.0032025
80.0,0.0031953
85.0,0.0031908
90.0,0.0031883
95.0,0.0031872
100.0,0.0031871
150.0,0.0032011
200.0,0.0032273
250.0,0.0032876
300.0,0.0033899
350.0,0.0035262
400.0,0.0036825
450.0,0.003845
500.0,0.004003
550.0,0.0041502
600.0,0.0042843
650.0,0.0044058
700.0,0.0045163
750.0,0.0046177
800.0,0.0047107
850.0,0.0047937
900.0,0.0048619
950.0,0.0049067
1000.0,0.0049163
