energy_MeV,niel_MeV_cm2_g
0.04,0.00011749
0.045,0.00011857
0.05,0.00011849
0.055,0.00011772
0.06,0.00011657
0.065,0.00011522
0.07,0.00011376
0.075,0.00011226
0.08,0.00011077
0.085,0.00010931
0.09,0.00010789
0.095,0.00010653
0.1,0.00010522
0.15,9.5104e-05
0.2,8.899e-05
0.25,8.5209e-05
0.3,8.2834e-05
0.35,8.1351e-05
0.4,8.0462e-05
0.45,7.998e-05
0.5,7.9787e-05
0.55,7.9802e-05
0.6,7.9971e-05
0.65,8.0253e-05
0.7,8.062e-05
0.75,8.1052e-05
0.8,8.1532e-05
0.85,8.2048e-05
0.9,8.2592e-05
0.95,8.3155e-05
1.0,8.3733e-05
1.5,8.9649e-05
2.0,9.5084e-05
2.5,9.9851e-05
3.0,0.00010403
3.5,0.00010772
4.0,0.00011101
4.5,0.00011397
5.0,0.00011665
5.5,0.0001191
6.0,0.00012135
6.5,0.00012343
7.0,0.00012536
7.5,0.00012716
8.0,0.00012884
8.5,0.00013042
9.0,0.0001319
9.5,0.0001333
10.0,0.00013463
15.0,0.00014486
20.0,0.00015169
25.0,0.00015659
30.0,0.00016024
35.0,0.00016304
40.0,0.0001652
45.0,0.0001669
50.0,0.00016824
55.0,0.00016929
60.0,0.00017013
65.0,0.0001708
70.0,0.00017133
75.0,0.00017176
80.0,0.00017209
85.0,0.00017236
90.0,0.00017258
95.0,0.00017274
100.0,0.00017288
