energy_MeV,niel_MeV_cm2_g
0.0001,4.5453
0.00015,5.1141
0.0002,5.4522
0.00025,5.6687
0.0003,5.8121
0.00035,5.9076
0.0004,5.97
0.00045,6.0088
0.0005,6.03
0.00055,6.0381
0.0006,6.0361
0.00065,6.0263
0.0007,6.0104
0.00075,5.9896
0.0008,5.9651
0.00085,5.9375
0.0009,5.9075
0.00095,5.8757
0.001,5.8423
0.0015,5.4783
0.002,5.1254
0.0025,4.81
0.003,4.5325
0.0035,4.2882
0.004,4.072
0.0045,3.8795
0.005,3.7071
0.0055,3.5515
0.006,3.4105
0.0065,3.282
0.007,3.1643
0.0075,3.056
0.008,2.956
0.0085,2.8634
0.009,2.7773
0.0095,2.6969
0.01,2.6218
0.015,2.0699
0.02,1.7278
0.025,1.4919
0.03,1.3181
0.035,1.1839
0.04,1.0768
0.045,0.98911
0.05,0.91579
0.055,0.85349
0.06,0.79981
0.065,0.75302
0.07,0.71184
0.075,0.67528
0.08,0.64259
0.085,0.61315
0.09,0.5865
0.095,0.56225
0.1,0.54007
0.15,0.39409
0.2,0.31559
0.25,0.26557
0.3,0.23086
0.35,0.20508
0.4,0.18279
0.45,0.16502
0.5,0.15054
0.55,0.1385
0.6,0.12834
0.65,0.11963
0.7,0.11208
0.75,0.10525
0.8,0.09922
0.85,0.09386
0.9,0.089062
0.95,0.084743
1.0,0.080832
1.5,0.055505
2.0,0.042413
2.5,0.03439
3.0,0.029005
3.5,0.025205
4.0,0.022403
4.5,0.02026
5.0,0.018572
5.5,0.01719
6.0,0.016035
6.5,0.015057
7.0,0.014222
7.5,0.013502
8.0,0.012876
8.5,0.012329
9.0,0.011846
9.5,0.011418
10.0,0.011035
15.0,0.0086669
20.0,0.0074823
25.0,0.0067309
30.0,0.0061887
35.0,0.0057712
40.0,0.0054394
45.0,0.0051709
50.0,0.0049495
55.0,0.0047632
60.0,0.004603
65.0,0.0044623
70.0,0.0043363
75.0,0.0042214
80.0,0.0041154
85.0,0.0040165
90.0,0.0039235
95.0,0.0038357
100.0,0.0037526
150.0,0.0031309
200.0,0.0028017
250.0,0.0026399
300.0,0.0025549
350.0,0.0025018
400.0,0.0024649
450.0,0.0024414
500.0,0.0024317
550.0,0.0024346
600.0,0.0024463
650.0,0.0024605
700.0,0.0024703
750.0,0.0024698
800.0,0.0024566
850.0,0.0024337
900.0,0.0024102
950.0,0.0024012
1000.0,0.0024299
