energy_MeV,niel_MeV_cm2_g
0.04,5.8077e-06
0.045,7.1831e-06
0.05,8.1346e-06
0.055,8.8059e-06
0.06,9.8431e-06
0.065,1.0954e-05
0.07,1.1821e-05
0.075,1.2506e-05
0.08,1.3051e-05
0.085,1.349e-05
0.09,1.3845e-05
0.095,1.4134e-05
0.1,1.4371e-05
0.15,1.5346e-05
0.2,1.5525e-05
0.25,1.5597e-05
0.3,1.5683e-05
0.35,1.5804e-05
0.4,1.6863e-05
0.45,1.8438e-05
0.5,2.0039e-05
0.55,2.1623e-05
0.6,2.3169e-05
0.65,2.4665e-05
0.7,2.6106e-05
0.75,2.7491e-05
0.8,2.882e-05
0.85,3.0096e-05
0.9,3.132e-05
0.95,3.2496e-05
1.0,3.3626e-05
1.5,4.2953e-05
2.0,4.9876e-05
2.5,5.5356e-05
3.0,5.9878e-05
3.5,6.3719e-05
4.0,6.7048e-05
4.5,6.9981e-05
5.0,7.2598e-05
5.5,7.4955e-05
6.0,7.7097e-05
6.5,7.9056e-05
7.0,8.0859e-05
7.5,8.2526e-05
8.0,8.4075e-05
8.5,8.5519e-05
9.0,8.6869e-05
9.5,8.8137e-05
10.0,8.9329e-05
15.0,9.8299e-05
20.0,0.00010397
25.0,0.00010778
30.0,0.00011042
35.0,0.00011225
40.0,0.00011352
45.0,0.00011438
50.0,0.00011495
55.0,0.00011531
60.0,0.00011552
65.0,0.00011562
70.0,0.00011564
75.0,0.00011561
80.0,0.00011554
85.0,0.00011544
90.0,0.00011532
95.0,0.0001152
100.0,0.00011506
