energy_MeV,niel_MeV_cm2_g
0.0001,1.6763
0.00015,2.0391
0.0002,2.2437
0.00025,2.3686
0.0003,2.4849
0.00035,2.5985
0.0004,2.6817
0.00045,2.7433
0.0005,2.7889
0.00055,2.8224
0.0006,2.8465
0.00065,2.8634
0.0007,2.8744
0.00075,2.8809
0.0008,2.8836
0.00085,2.8832
0.0009,2.8804
0.00095,2.8755
0.001,2.8689
0.0015,2.7558
0.002,2.6192
0.0025,2.4885
0.003,2.3696
0.0035,2.2625
0.004,2.1663
0.0045,2.0794
0.005,2.0007
0.0055,1.929
0.006,1.8634
0.0065,1.8031
0.007,1.7474
0.0075,1.6958
0.008,1.6478
0.0085,1.603
0.009,1.5611
0.0095,1.5218
0.01,1.4848
0.015,1.2062
0.02,1.0266
0.025,0.89922
0.03,0.80332
0.035,0.72803
0.04,0.6671
0.045,0.61662
0.05,0.574
0.055,0.53746
0.06,0.50575
0.065,0.47793
0.07,0.4533
0.075,0.43131
0.08,0.41156
0.085,0.39369
0.09,0.37747
0.095,0.36266
0.1,0.34913
0.15,0.25742
0.2,0.20634
0.25,0.17337
0.3,0.14966
0.35,0.13148
0.4,0.11742
0.45,0.10628
0.5,0.097219
0.55,0.089682
0.6,0.083309
0.65,0.077844
0.7,0.073103
0.75,0.068948
0.8,0.065273
0.85,0.061999
0.9,0.059062
0.95,0.056412
1.0,0.054007
1.5,0.037784
2.0,0.029039
2.5,0.023671
3.0,0.020041
3.5,0.017436
4.0,0.01549
4.5,0.01398
5.0,0.012769
5.5,0.011773
6.0,0.010938
6.5,0.010228
7.0,0.0096162
7.5,0.0090845
8.0,0.0086179
8.5,0.008205
9.0,0.0078371
9.5,0.007507
10.0,0.007209
15.0,0.0052875
20.0,0.0042823
25.0,0.003654
30.0,0.003221
35.0,0.0029018
40.0,0.0026545
45.0,0.0024553
50.0,0.0022899
55.0,0.0021493
60.0,0.0020274
65.0,0.0019204
70.0,0.0018253
75.0,0.0017401
80.0,0.0016633
85.0,0.0015935
90.0,0.00153
95.0,0.001472
100.0,0.0014187
150.0,0.0010629
200.0,0.00088187
250.0,0.00077884
300.0,0.00071524
350.0,0.00067336
400.0,0.00064424
450.0,0.00062302
500.0,0.00060689
550.0,0.00059419
600.0,0.00058389
650.0,0.00057533
700.0,0.00056804
750.0,0.00056169
800.0,0.00055599
850.0,0.0005507
900.0,0.00054558
950.0,0.00054039
1000.0,0.00053493
