energy_MeV,niel_MeV_cm2_g
0.04,0.00011017
0.045,0.00010376
0.05,9.8285e-05
0.055,9.3545e-05
0.06,8.9405e-05
0.065,8.5759e-05
0.07,8.2525e-05
0.075,7.9636e-05
0.08,7.7041e-05
0.085,7.4696e-05
0.09,7.2568e-05
0.095,7.0629e-05
0.1,6.8854e-05
0.15,5.697e-05
0.2,5.0672e-05
0.25,4.6871e-05
0.3,4.4403e-05
0.35,4.2725e-05
0.4,4.1553e-05
0.45,4.0722e-05
0.5,4.0129e-05
0.55,3.9709e-05
0.6,3.9418e-05
0.65,3.9222e-05
0.7,3.9101e-05
0.75,3.9038e-05
0.8,3.902e-05
0.85,3.9038e-05
0.9,3.9084e-05
0.95,3.9153e-05
1.0,3.9241e-05
1.5,4.1126e-05
2.0,4.6144e-05
2.5,5.1483e-05
3.0,5.6307e-05
3.5,6.0537e-05
4.0,6.4244e-05
4.5,6.7513e-05
5.0,7.042e-05
5.5,7.3025e-05
6.0,7.5378e-05
6.5,7.7518e-05
7.0,7.9474e-05
7.5,8.1273e-05
8.0,8.2935e-05
8.5,8.4476e-05
9.0,8.5909e-05
9.5,8.7248e-05
10.0,8.8502e-05
15.0,9.7745e-05
20.0,0.0001034
25.0,0.00010711
30.0,0.00010961
35.0,0.00011132
40.0,0.00011247
45.0,0.00011323
50.0,0.00011372
55.0,0.00011402
60.0,0.00011418
65.0,0.00011424
70.0,0.00011424
75.0,0.00011419
80.0,0.0001141
85.0,0.00011399
90.0,0.00011388
95.0,0.00011375
100.0,0.00011362
