energy_MeV,niel_MeV_cm2_g
0.0001,10.608
0.00015,10.224
0.0002,9.8096
0.00025,9.4175
0.0003,9.0569
0.00035,8.7272
0.0004,8.4255
0.00045,8.1486
0.0005,7.8934
0.00055,7.6573
0.0006,7.4382
0.00065,7.2341
0.0007,7.0434
0.00075,6.8647
0.0008,6.6968
0.00085,6.5388
0.0009,6.3896
0.00095,6.2485
0.001,6.1147
0.0015,5.0766
0.002,4.4462
0.0025,4.0195
0.003,3.6858
0.0035,3.4157
0.004,3.1914
0.0045,3.0014
0.005,2.8377
0.0055,2.6948
0.006,2.5687
0.0065,2.4564
0.007,2.3555
0.0075,2.2642
0.008,2.1812
0.0085,2.1052
0.009,2.0354
0.0095,1.9709
0.01,1.9112
0.015,1.4856
0.02,1.2316
0.025,1.0596
0.03,0.93409
0.035,0.83779
0.04,0.76122
0.045,0.69867
0.05,0.64641
0.055,0.60295
0.06,0.5659
0.065,0.53369
0.07,0.50539
0.075,0.48029
0.08,0.45787
0.085,0.43769
0.09,0.41942
0.095,0.4028
0.1,0.3876
0.15,0.285
0.2,0.22373
0.25,0.18467
0.3,0.15761
0.35,0.13771
0.4,0.12242
0.45,0.11021
0.5,0.1003
0.55,0.092097
0.6,0.08519
0.65,0.079292
0.7,0.074193
0.75,0.069739
0.8,0.065814
0.85,0.062327
0.9,0.059209
0.95,0.056402
1.0,0.053862
1.5,0.037202
2.0,0.028474
2.5,0.023126
3.0,0.019504
3.5,0.016896
4.0,0.015054
4.5,0.013601
5.0,0.012367
5.5,0.011349
6.0,0.010509
6.5,0.0098085
7.0,0.0092137
7.5,0.0086991
8.0,0.0082458
8.5,0.0078401
9.0,0.0074728
9.5,0.0071375
10.0,0.0068301
15.0,0.0048081
20.0,0.0038319
25.0,0.0032715
30.0,0.0028847
35.0,0.002582
40.0,0.0023321
45.0,0.002123
50.0,0.0019474
55.0,0.0017994
60.0,0.0016738
65.0,0.0015663
70.0,0.0014735
75.0,0.0013925
80.0,0.001321
85.0,0.0012574
90.0,0.0012002
95.0,0.0011486
100.0,0.0011015
150.0,0.00078893
200.0,0.00062946
250.0,0.00054052
300.0,0.00048724
350.0,0.00045317
400.0,0.00043006
450.0,0.0004136
500.0,0.00040145
550.0,0.00039224
600.0,0.00038506
650.0,0.00037922
700.0,0.00037415
750.0,0.0003694
800.0,0.00036465
850.0,0.00035985
900.0,0.00035521
950.0,0.00035126
1000.0,0.0003489
