energy_MeV,niel_MeV_cm2_g
0.04,0.0
0.045,0.0
0.05,0.0
0.055,0.0
0.06,0.0
0.065,0.0
0.07,0.0
0.075,0.0
0.08,0.0
0.085,0.0
0.09,0.0
0.095,0.0
0.1,0.0
0.15,0.0
0.2,0.0
0.25,0.0
0.3,1.3821e-06
0.35,2.7583e-06
0.4,3.9814e-06
0.45,5.0824e-06
0.5,6.0835e-06
0.55,7.8367e-06
0.6,9.878e-06
0.65,1.1956e-05
0.7,1.4003e-05
0.75,1.5985e-05
0.8,1.7883e-05
0.85,1.9689e-05
0.9,2.1404e-05
0.95,2.303e-05
1.0,2.457e-05
1.5,3.6405e-05
2.0,4.4269e-05
2.5,5.0068e-05
3.0,5.4632e-05
3.5,5.8383e-05
4.0,6.1558e-05
4.5,6.4306e-05
5.0,6.6722e-05
5.5,6.8874e-05
6.0,7.081e-05
6.5,7.2566e-05
7.0,7.4169e-05
7.5,7.5641e-05
8.0,7.6999e-05
8.5,7.8256e-05
9.0,7.9425e-05
9.5,8.0515e-05
10.0,8.1533e-05
15.0,8.8917e-05
20.0,9.3161e-05
25.0,9.5637e-05
30.0,9.7008e-05
35.0,9.7658e-05
40.0,9.7837e-05
45.0,9.771e-05
50.0,9.7393e-05
55.0,9.6964e-05
60.0,9.6474e-05
65.0,9.596e-05
70.0,9.5444e-05
75.0,9.494e-05
80.0,9.4457e-05
85.0,9.4e-05
90.0,9.357e-05
95.0,9.3169e-05
100.0,9.2796e-05
