energy_MeV,niel_MeV_cm2_g
0.0001,0.0
0.00015,0.0
0.0002,0.03513
0.00025,0.096737
0.0003,0.14487
0.00035,0.18386
0.0004,0.21628
0.00045,0.25709
0.0005,0.29939
0.00055,0.33645
0.0006,0.36924
0.00065,0.39848
0.0007,0.42474
0.00075,0.44847
0.0008,0.47002
0.00085,0.48967
0.0009,0.50766
0.00095,0.52419
0.001,0.53943
0.0015,0.64352
0.002,0.69832
0.0025,0.72907
0.003,0.74628
0.0035,0.75521
0.004,0.75878
0.0045,0.75876
0.005,0.75628
0.0055,0.7521
0.006,0.7467
0.0065,0.74047
0.007,0.73365
0.0075,0.72642
0.008,0.71894
0.0085,0.71129
0.009,0.70356
0.0095,0.6958
0.01,0.68806
0.015,0.61602
0.02,0.5567
0.025,0.50845
0.03,0.46867
0.035,0.43533
0.04,0.40697
0.045,0.38251
0.05,0.36118
0.055,0.34239
0.06,0.32569
0.065,0.31074
0.07,0.29727
0.075,0.28505
0.08,0.27392
0.085,0.26372
0.09,0.25435
0.095,0.24569
0.1,0.23767
0.15,0.18088
0.2,0.14746
0.25,0.12519
0.3,0.10917
0.35,0.097041
0.4,0.087545
0.45,0.079935
0.5,0.073658
0.55,0.068382
0.6,0.063879
0.65,0.059986
0.7,0.056595
0.75,0.053623
0.8,0.050984
0.85,0.048623
0.9,0.046497
0.95,0.044572
1.0,0.04282
1.5,0.030716
2.0,0.024131
2.5,0.019791
3.0,0.016809
3.5,0.014636
4.0,0.012979
4.5,0.011671
5.0,0.010613
5.5,0.0097373
6.0,0.0090009
6.5,0.0083724
7.0,0.0078295
7.5,0.0073556
8.0,0.0069383
8.5,0.0065678
9.0,0.0062366
9.5,0.0059387
10.0,0.0056693
15.0,0.0039293
20.0,0.0030323
25.0,0.0024827
30.0,0.0021104
35.0,0.001841
40.0,0.0016369
45.0,0.0014767
50.0,0.0013475
55.0,0.0012411
60.0,0.001152
65.0,0.0010761
70.0,0.0010108
75.0,0.00095393
80.0,0.00090398
85.0,0.00085975
90.0,0.0008203
95.0,0.00078489
100.0,0.00075294
150.0,0.00054842
200.0,0.00044467
250.0,0.00038197
300.0,0.00034003
350.0,0.00031006
400.0,0.00028761
450.0,0.0002702
500.0,0.00025633
550.0,0.00024503
600.0,0.00023567
650.0,0.0002278
700.0,0.0002211
750.0,0.00021533
800.0,0.00021033
850.0,0.00020594
900.0,0.00020207
950.0,0.00019864
1000.0,0.00019558
