energy_MeV,niel_MeV_cm2_g
0.04,0.0
0.045,0.0
0.05,0.0
0.055,0.0
0.06,0.0
0.065,0.0
0.07,0.0
0.075,0.0
0.08,0.0
0.085,0.0
0.09,0.0
0.095,0.0
0.1,0.0
0.15,1.7919e-06
0.2,4.7107e-06
0.25,6.6017e-06
0.3,7.9482e-06
0.35,9.0101e-06
0.4,9.9046e-06
0.45,1.0691e-05
0.5,1.1402e-05
0.55,1.3041e-05
0.6,1.4974e-05
0.65,1.6972e-05
0.7,1.8963e-05
0.75,2.0907e-05
0.8,2.2781e-05
0.85,2.4577e-05
0.9,2.629e-05
0.95,2.7923e-05
1.0,2.9477e-05
1.5,4.1636e-05
2.0,4.9932e-05
2.5,5.6153e-05
3.0,6.1111e-05
3.5,6.5221e-05
4.0,6.8726e-05
4.5,7.1775e-05
5.0,7.447e-05
5.5,7.6879e-05
6.0,7.9054e-05
6.5,8.1033e-05
7.0,8.2845e-05
7.5,8.4513e-05
8.0,8.6057e-05
8.5,8.749e-05
9.0,8.8826e-05
9.5,9.0074e-05
10.0,9.1243e-05
15.0,9.9852e-05
20.0,0.00010501
25.0,0.00010822
30.0,0.00011023
35.0,0.00011145
40.0,0.00011213
45.0,0.00011246
50.0,0.00011255
55.0,0.00011249
60.0,0.00011234
65.0,0.00011213
70.0,0.00011188
75.0,0.00011162
80.0,0.00011136
85.0,0.0001111
90.0,0.00011085
95.0,0.00011061
100.0,0.00011038
