energy_MeV,niel_MeV_cm2_g
0.0001,0.21601
0.00015,0.75378
0.0002,1.1547
0.00025,1.4198
0.0003,1.6058
0.00035,1.7413
0.0004,1.8423
0.00045,1.9353
0.0005,2.015
0.00055,2.0785
0.0006,2.1296
0.00065,2.1707
0.0007,2.2039
0.00075,2.2306
0.0008,2.2519
0.00085,2.2688
0.0009,2.282
0.00095,2.2921
0.001,2.2996
0.0015,2.2905
0.002,2.2195
0.0025,2.1347
0.003,2.05
0.0035,1.9696
0.004,1.895
0.0045,1.8261
0.005,1.7626
0.0055,1.704
0.006,1.6499
0.0065,1.5997
0.007,1.5531
0.0075,1.5097
0.008,1.4691
0.0085,1.4311
0.009,1.3954
0.0095,1.3619
0.01,1.3302
0.015,1.0895
0.02,0.93259
0.025,0.82048
0.03,0.7356
0.035,0.66867
0.04,0.6143
0.045,0.56909
0.05,0.53082
0.055,0.49785
0.06,0.46917
0.065,0.44398
0.07,0.42164
0.075,0.40167
0.08,0.38371
0.085,0.36745
0.09,0.35264
0.095,0.33911
0.1,0.32667
0.15,0.24141
0.2,0.19347
0.25,0.16256
0.3,0.14081
0.35,0.12459
0.4,0.11198
0.45,0.1018
0.5,0.093102
0.55,0.085839
0.6,0.079679
0.65,0.074385
0.7,0.069789
0.75,0.065778
0.8,0.062234
0.85,0.059077
0.9,0.056246
0.95,0.053693
1.0,0.051376
1.5,0.036236
2.0,0.028272
2.5,0.023104
3.0,0.019557
3.5,0.017014
4.0,0.015147
4.5,0.013699
5.0,0.012531
5.5,0.01157
6.0,0.010768
6.5,0.010088
7.0,0.0095048
7.5,0.008998
8.0,0.0085535
8.5,0.0081606
9.0,0.0078107
9.5,0.0074973
10.0,0.0072151
15.0,0.0054424
20.0,0.004552
25.0,0.0039837
30.0,0.0035759
35.0,0.0032679
40.0,0.0030285
45.0,0.0028381
50.0,0.0026832
55.0,0.0025539
60.0,0.0024435
65.0,0.0023469
70.0,0.0022608
75.0,0.0021828
80.0,0.0021113
85.0,0.0020452
90.0,0.0019836
95.0,0.0019261
100.0,0.0018723
150.0,0.0014925
200.0,0.0013019
250.0,0.0012023
300.0,0.0011423
350.0,0.0010999
400.0,0.0010672
450.0,0.001042
500.0,0.0010235
550.0,0.0010109
600.0,0.0010026
650.0,0.00099685
700.0,0.00099154
750.0,0.00098511
800.0,0.00097678
850.0,0.00096689
900.0,0.00095715
950.0,0.00095071
1000.0,0.00095228
