energy_MeV,niel_MeV_cm2_g
0.04,1.4276e-05
0.045,1.315e-05
0.05,1.2222e-05
0.055,1.1444e-05
0.06,1.0782e-05
0.065,1.0211e-05
0.07,9.7142e-06
0.075,9.2771e-06
0.08,8.8897e-06
0.085,8.544e-06
0.09,8.2336e-06
0.095,7.9532e-06
0.1,7.6988e-06
0.15,1.1214e-05
0.2,1.4081e-05
0.25,1.5806e-05
0.3,1.7058e-05
0.35,1.8079e-05
0.4,1.897e-05
0.45,1.978e-05
0.5,2.0535e-05
0.55,2.1248e-05
0.6,2.1928e-05
0.65,2.2581e-05
0.7,2.3337e-05
0.75,2.4263e-05
0.8,2.5236e-05
0.85,2.6236e-05
0.9,2.7249e-05
0.95,2.8264e-05
1.0,2.9276e-05
1.5,3.8529e-05
2.0,4.5992e-05
2.5,5.2064e-05
3.0,5.7134e-05
3.5,6.1464e-05
4.0,6.523e-05
4.5,6.8555e-05
5.0,7.1526e-05
5.5,7.4205e-05
6.0,7.6641e-05
6.5,7.8873e-05
7.0,8.0928e-05
7.5,8.2831e-05
8.0,8.46e-05
8.5,8.6251e-05
9.0,8.7798e-05
9.5,8.9252e-05
10.0,9.0621e-05
15.0,0.00010102
20.0,0.00010776
25.0,0.00011246
30.0,0.00011586
35.0,0.00011836
40.0,0.00012022
45.0,0.00012162
50.0,0.00012265
55.0,0.00012343
60.0,0.000124
65.0,0.00012442
70.0,0.00012472
75.0,0.00012493
80.0,0.00012507
85.0,0.00012516
90.0,0.0001252
95.0,0.00012522
100.0,0.00012522
