energy_MeV,niel_MeV_cm2_g
0.0001,4.034
0.00015,4.127
0.0002,4.1233
0.00025,4.0901
0.0003,4.0466
0.00035,3.9997
0.0004,3.9521
0.00045,3.9049
0.0005,3.8587
0.00055,3.8136
0.0006,3.7698
0.00065,3.7464
0.0007,3.7343
0.00075,3.7203
0.0008,3.705
0.00085,3.6886
0.0009,3.6714
0.00095,3.6534
0.001,3.6349
0.0015,3.4399
0.002,3.2517
0.0025,3.081
0.003,2.9283
0.0035,2.7917
0.004,2.6691
0.0045,2.5586
0.005,2.4583
0.0055,2.367
0.006,2.2834
0.0065,2.2066
0.007,2.1356
0.0075,2.0699
0.008,2.0088
0.0085,1.9518
0.009,1.8985
0.0095,1.8485
0.01,1.8015
0.015,1.4492
0.02,1.2243
0.025,1.0663
0.03,0.94815
0.035,0.85597
0.04,0.78176
0.045,0.72054
0.05,0.66901
0.055,0.62489
0.06,0.58672
0.065,0.55335
0.07,0.52388
0.075,0.49766
0.08,0.47415
0.085,0.45294
0.09,0.4337
0.095,0.41615
0.1,0.40009
0.15,0.29118
0.2,0.23139
0.25,0.19333
0.3,0.16678
0.35,0.14712
0.4,0.1319
0.45,0.11969
0.5,0.10919
0.55,0.10047
0.6,0.09312
0.65,0.086824
0.7,0.081371
0.75,0.076598
0.8,0.072384
0.85,0.068635
0.9,0.065275
0.95,0.062248
1.0,0.059504
1.5,0.041223
2.0,0.031679
2.5,0.025803
3.0,0.021813
3.5,0.018967
4.0,0.01687
4.5,0.015255
5.0,0.013966
5.5,0.012909
6.0,0.01203
6.5,0.011295
7.0,0.010671
7.5,0.010132
8.0,0.0096574
8.5,0.0092374
9.0,0.0088644
9.5,0.0085323
10.0,0.008236
15.0,0.0064771
20.0,0.0056752
25.0,0.0051713
30.0,0.0048084
35.0,0.0045382
40.0,0.0043346
45.0,0.0041788
50.0,0.0040571
55.0,0.0039594
60.0,0.0038785
65.0,0.0038095
70.0,0.0037489
75.0,0.0036944
80.0,0.0036444
85.0,0.003598
90.0,0.0035545
95.0,0.0035134
100.0,0.0034746
150.0,0.0031844
200.0,0.0030357
250.0,0.002985
300.0,0.0029962
350.0,0.0030426
400.0,0.0031065
450.0,0.0031766
500.0,0.003246
550.0,0.0033117
600.0,0.0033728
650.0,0.0034299
700.0,0.0034841
750.0,0.0035357
800.0,0.0035838
850.0,0.003626
900.0,0.0036579
950.0,0.003673
1000.0,0.0036632
