energy_MeV,niel_MeV_cm2_g
0.04,0.0
0.045,0.0
0.05,0.0
0.055,0.0
0.06,0.0
0.065,0.0
0.07,0.0
0.075,0.0
0.08,0.0
0.085,0.0
0.09,0.0
0.095,0.0
0.1,2.6845e-07
0.15,8.1411e-06
0.2,1.172e-05
0.25,1.3847e-05
0.3,1.5357e-05
0.35,1.6559e-05
0.4,1.7585e-05
0.45,1.85e-05
0.5,1.9903e-05
0.55,2.1325e-05
0.6,2.2736e-05
0.65,2.4122e-05
0.7,2.5476e-05
0.75,2.6793e-05
0.8,2.8072e-05
0.85,2.9311e-05
0.9,3.0512e-05
0.95,3.1675e-05
1.0,3.2801e-05
1.5,4.2367e-05
2.0,4.9707e-05
2.5,5.562e-05
3.0,6.0554e-05
3.5,6.4775e-05
4.0,6.8455e-05
4.5,7.1712e-05
5.0,7.4627e-05
5.5,7.7261e-05
6.0,7.9661e-05
6.5,8.1862e-05
7.0,8.3892e-05
7.5,8.5773e-05
8.0,8.7524e-05
8.5,8.916e-05
9.0,9.0694e-05
9.5,9.2136e-05
10.0,9.3496e-05
15.0,0.00010385
20.0,0.00011058
25.0,0.00011529
30.0,0.0001187
35.0,0.00012123
40.0,0.00012311
45.0,0.00012453
50.0,0.00012559
55.0,0.00012639
60.0,0.00012698
65.0,0.00012743
70.0,0.00012775
75.0,0.00012798
80.0,0.00012815
85.0,0.00012826
90.0,0.00012833
95.0,0.00012837
100.0,0.00012838
