energy_MeV,niel_MeV_cm2_g
0.0001,0.98474
0.00015,1.7397
0.0002,2.1955
0.00025,2.4989
0.0003,2.7119
0.00035,2.8664
0.0004,3.0197
0.00045,3.1464
0.0005,3.2459
0.00055,3.3244
0.0006,3.3867
0.00065,3.4358
0.0007,3.4745
0.00075,3.5047
0.0008,3.5277
0.00085,3.5449
0.0009,3.5573
0.00095,3.5654
0.001,3.5701
0.0015,3.5078
0.002,3.3686
0.0025,3.2167
0.003,3.0699
0.0035,2.9335
0.004,2.8083
0.0045,2.6937
0.005,2.5889
0.0055,2.4929
0.006,2.4046
0.0065,2.3232
0.007,2.2479
0.0075,2.1781
0.008,2.1131
0.0085,2.0524
0.009,1.9957
0.0095,1.9425
0.01,1.8924
0.015,1.5176
0.02,1.2789
0.025,1.1115
0.03,0.98678
0.035,0.88965
0.04,0.8116
0.045,0.74732
0.05,0.69335
0.055,0.64731
0.06,0.60751
0.065,0.57273
0.07,0.54204
0.075,0.51474
0.08,0.49027
0.085,0.46821
0.09,0.4482
0.095,0.42997
0.1,0.41327
0.15,0.30045
0.2,0.23883
0.25,0.19959
0.3,0.17222
0.35,0.15183
0.4,0.13551
0.45,0.12253
0.5,0.11178
0.55,0.10286
0.6,0.095327
0.65,0.088881
0.7,0.083296
0.75,0.078409
0.8,0.074094
0.85,0.070254
0.9,0.066814
0.95,0.063714
1.0,0.060903
1.5,0.042115
2.0,0.032312
2.5,0.026283
3.0,0.0222
3.5,0.019329
4.0,0.017233
4.5,0.015606
5.0,0.014297
5.5,0.013223
6.0,0.01233
6.5,0.011585
7.0,0.010955
7.5,0.010411
8.0,0.009932
8.5,0.0095082
9.0,0.0091312
9.5,0.0087946
10.0,0.0084931
15.0,0.0066623
20.0,0.0057978
25.0,0.0052563
30.0,0.00487
35.0,0.0045817
40.0,0.0043615
45.0,0.0041896
50.0,0.0040519
55.0,0.0039387
60.0,0.0038429
65.0,0.0037599
70.0,0.0036862
75.0,0.0036197
80.0,0.0035588
85.0,0.0035025
90.0,0.00345
95.0,0.0034009
100.0,0.0033547
150.0,0.003019
200.0,0.0028464
250.0,0.0027799
300.0,0.0027805
350.0,0.0028197
400.0,0.0028783
450.0,0.0029433
500.0,0.0030073
550.0,0.0030671
600.0,0.0031222
650.0,0.0031737
700.0,0.003223
750.0,0.003271
800.0,0.0033169
850.0,0.0033581
900.0,0.0033897
950.0,0.0034042
1000.0,0.0033921
