energy_MeV,niel_MeV_cm2_g
0.04,0.0
0.045,0.0
0.05,0.0
0.055,0.0
0.06,0.0
0.065,0.0
0.07,3.9407e-07
0.075,7.8121e-07
0.08,1.1048e-06
0.085,1.3784e-06
0.09,1.6123e-06
0.095,1.814e-06
0.1,1.9894e-06
0.15,2.964e-06
0.2,3.3713e-06
0.25,3.8076e-06
0.3,4.5572e-06
0.35,5.1875e-06
0.4,5.7391e-06
0.45,6.2343e-06
0.5,6.6865e-06
0.55,7.3594e-06
0.6,8.1619e-06
0.65,9.1832e-06
0.7,1.0244e-05
0.75,1.1323e-05
0.8,1.2405e-05
0.85,1.3481e-05
0.9,1.4542e-05
0.95,1.5586e-05
1.0,1.6609e-05
1.5,2.5574e-05
2.0,3.2575e-05
2.5,3.8212e-05
3.0,4.2897e-05
3.5,4.6889e-05
4.0,5.0356e-05
4.5,5.3412e-05
5.0,5.614e-05
5.5,5.8598e-05
6.0,6.0832e-05
6.5,6.2877e-05
7.0,6.4759e-05
7.5,6.65e-05
8.0,6.8118e-05
8.5,6.9628e-05
9.0,7.1041e-05
9.5,7.2368e-05
10.0,7.3617e-05
15.0,8.3075e-05
20.0,8.9155e-05
25.0,9.3345e-05
30.0,9.6327e-05
35.0,9.8479e-05
40.0,0.00010004
45.0,0.00010117
50.0,0.00010197
55.0,0.00010254
60.0,0.00010292
65.0,0.00010318
70.0,0.00010333
75.0,0.00010341
80.0,0.00010343
85.0,0.00010342
90.0,0.00010337
95.0,0.0001033
100.0,0.00010322
