energy_MeV,niel_MeV_cm2_g
0.0001,0.10384
0.00015,0.14501
0.0002,0.19879
0.00025,0.24378
0.0003,0.27832
0.00035,0.30578
0.0004,0.32818
0.00045,0.36527
0.0005,0.40877
0.00055,0.48738
0.0006,0.57211
0.00065,0.64646
0.0007,0.71219
0.00075,0.77065
0.0008,0.82293
0.00085,0.86989
0.0009,0.91226
0.00095,0.9506
0.001,0.98542
0.0015,1.2064
0.002,1.3042
0.0025,1.3471
0.003,1.3617
0.0035,1.3606
0.004,1.3502
0.0045,1.3345
0.005,1.3155
0.0055,1.2947
0.006,1.2729
0.0065,1.2507
0.007,1.2286
0.0075,1.2066
0.008,1.185
0.0085,1.1639
0.009,1.1434
0.0095,1.1234
0.01,1.104
0.015,0.94137
0.02,0.82277
0.025,0.73309
0.03,0.66283
0.035,0.60615
0.04,0.55935
0.045,0.51998
0.05,0.48634
0.055,0.45721
0.06,0.43172
0.065,0.40921
0.07,0.38915
0.075,0.37115
0.08,0.35491
0.085,0.34016
0.09,0.32671
0.095,0.31437
0.1,0.30302
0.15,0.22468
0.2,0.18024
0.25,0.15136
0.3,0.13092
0.35,0.11572
0.4,0.10393
0.45,0.094541
0.5,0.08686
0.55,0.08045
0.6,0.075013
0.65,0.070336
0.7,0.066198
0.75,0.062524
0.8,0.059201
0.85,0.056239
0.9,0.05358
0.95,0.051179
1.0,0.048999
1.5,0.034318
2.0,0.026512
2.5,0.021682
3.0,0.018386
3.5,0.015988
4.0,0.014163
4.5,0.012744
5.0,0.011625
5.5,0.010704
6.0,0.0099318
6.5,0.0092873
7.0,0.0087434
7.5,0.0082759
8.0,0.0078691
8.5,0.0075124
9.0,0.0071981
9.5,0.0069197
10.0,0.0066719
15.0,0.0051912
20.0,0.0045705
25.0,0.0042603
30.0,0.0040641
35.0,0.0039136
40.0,0.0037893
45.0,0.0036865
50.0,0.0036037
55.0,0.003539
60.0,0.0034897
65.0,0.0034533
70.0,0.0034268
75.0,0.003408
80.0,0.0033946
85.0,0.0033848
90.0,0.0033774
95.0,0.0033713
100.0,0.0033656
150.0,0.0032848
200.0,0.0032046
250.0,0.0031916
300.0,0.00324
350.0,0.003323
400.0,0.0034197
450.0,0.003519
500.0,0.0036165
550.0,0.0037113
600.0,0.0038033
650.0,0.0038922
700.0,0.0039759
750.0,0.0040512
800.0,0.004114
850.0,0.0041604
900.0,0.0041876
950.0,0.0041948
1000.0,0.0041837
