energy_MeV,niel_MeV_cm2_g
0.04,0.0
0.045,0.0
0.05,0.0
0.055,0.0
0.06,0.0
0.065,0.0
0.07,0.0
0.075,0.0
0.08,0.0
0.085,0.0
0.09,0.0
0.095,0.0
0.1,0.0
0.15,2.5654e-06
0.2,6.4027e-06
0.25,9.2416e-06
0.3,1.1225e-05
0.35,1.2777e-05
0.4,1.4083e-05
0.45,1.5459e-05
0.5,1.6882e-05
0.55,1.8235e-05
0.6,1.9529e-05
0.65,2.0771e-05
0.7,2.1967e-05
0.75,2.3121e-05
0.8,2.4236e-05
0.85,2.5314e-05
0.9,2.6359e-05
0.95,2.7372e-05
1.0,2.8356e-05
1.5,3.6847e-05
2.0,4.3554e-05
2.5,4.9061e-05
3.0,5.3708e-05
3.5,5.7711e-05
4.0,6.1215e-05
4.5,6.4321e-05
5.0,6.7102e-05
5.5,6.9613e-05
6.0,7.1898e-05
6.5,7.3988e-05
7.0,7.5911e-05
7.5,7.7688e-05
8.0,7.9336e-05
8.5,8.0871e-05
9.0,8.2304e-05
9.5,8.3647e-05
10.0,8.4907e-05
15.0,9.4296e-05
20.0,0.00010016
25.0,0.00010412
30.0,0.00010694
35.0,0.000109
40.0,0.00011055
45.0,0.00011173
50.0,0.00011264
55.0,0.00011335
60.0,0.00011391
65.0,0.00011435
70.0,0.0001147
75.0,0.00011498
80.0,0.0001152
85.0,0.00011538
90.0,0.00011553
95.0,0.00011565
100.0,0.00011574
