energy_MeV,niel_MeV_cm2_g
0.0001,0.78167
0.00015,3.3579
0.0002,5.2949
0.00025,6.4129
0.0003,7.0897
0.00035,7.5396
0.0004,7.8768
0.00045,8.0913
0.0005,8.2217
0.00055,8.2928
0.0006,8.3214
0.00065,8.3192
0.0007,8.2945
0.00075,8.253
0.0008,8.1993
0.00085,8.1365
0.0009,8.0671
0.00095,7.993
0.001,7.9155
0.0015,7.1109
0.002,6.407
0.0025,5.8292
0.003,5.3538
0.0035,4.957
0.004,4.6209
0.0045,4.3325
0.005,4.082
0.0055,3.862
0.006,3.6673
0.0065,3.4934
0.007,3.3371
0.0075,3.1958
0.008,3.0672
0.0085,2.9498
0.009,2.8419
0.0095,2.7425
0.01,2.6505
0.015,2.003
0.02,1.6251
0.025,1.3746
0.03,1.195
0.035,1.0594
0.04,0.95258
0.045,0.86591
0.05,0.79374
0.055,0.73352
0.06,0.68243
0.065,0.63849
0.07,0.60028
0.075,0.5667
0.08,0.53696
0.085,0.5104
0.09,0.48654
0.095,0.46497
0.1,0.44537
0.15,0.31433
0.2,0.24304
0.25,0.19864
0.3,0.16833
0.35,0.14626
0.4,0.12946
0.45,0.11621
0.5,0.1055
0.55,0.096647
0.6,0.089083
0.65,0.082618
0.7,0.077042
0.75,0.072183
0.8,0.067909
0.85,0.064121
0.9,0.060739
0.95,0.057701
1.0,0.054957
1.5,0.037336
2.0,0.028342
2.5,0.022873
3.0,0.019193
3.5,0.016596
4.0,0.014855
4.5,0.013479
5.0,0.01231
5.5,0.011356
6.0,0.010583
6.5,0.0099494
7.0,0.0094207
7.5,0.0089687
8.0,0.0085723
8.5,0.0082169
9.0,0.0078933
9.5,0.0075958
10.0,0.0073212
15.0,0.0055271
20.0,0.0047402
25.0,0.0043349
30.0,0.0040539
35.0,0.0038063
40.0,0.003573
45.0,0.0033567
50.0,0.0031622
55.0,0.002991
60.0,0.0028419
65.0,0.0027123
70.0,0.0025994
75.0,0.0025003
80.0,0.0024126
85.0,0.0023343
90.0,0.0022638
95.0,0.0021998
100.0,0.0021412
150.0,0.0017374
200.0,0.0015178
250.0,0.0013978
300.0,0.0013356
350.0,0.0013069
400.0,0.001297
450.0,0.0012971
500.0,0.0013014
550.0,0.0013068
600.0,0.0013115
650.0,0.0013149
700.0,0.0013169
750.0,0.0013176
800.0,0.0013173
850.0,0.0013158
900.0,0.0013129
950.0,0.0013081
1000.0,0.0013007
