energy_MeV,niel_MeV_cm2_g
0.04,3.9203e-05
0.045,4.1563e-05
0.05,4.2961e-05
0.055,4.3752e-05
0.06,4.415e-05
0.065,4.429e-05
0.07,4.4258e-05
0.075,4.4111e-05
0.08,4.3889e-05
0.085,4.3617e-05
0.09,4.3313e-05
0.095,4.2992e-05
0.1,4.2661e-05
0.15,3.9644e-05
0.2,3.7601e-05
0.25,3.7084e-05
0.3,3.7954e-05
0.35,3.8853e-05
0.4,3.9784e-05
0.45,4.0739e-05
0.5,4.1709e-05
0.55,4.2685e-05
0.6,4.366e-05
0.65,4.4631e-05
0.7,4.5591e-05
0.75,4.654e-05
0.8,4.7475e-05
0.85,4.8395e-05
0.9,4.9298e-05
0.95,5.0184e-05
1.0,5.1054e-05
1.5,5.8838e-05
2.0,6.522e-05
2.5,7.0558e-05
3.0,7.5115e-05
3.5,7.9074e-05
4.0,8.2562e-05
4.5,8.5672e-05
5.0,8.8471e-05
5.5,9.1011e-05
6.0,9.3332e-05
6.5,9.5465e-05
7.0,9.7435e-05
7.5,9.9264e-05
8.0,0.00010097
8.5,0.00010256
9.0,0.00010405
9.5,0.00010546
10.0,0.00010678
15.0,0.00011685
20.0,0.00012338
25.0,0.00012794
30.0,0.00013128
35.0,0.00013379
40.0,0.0001357
45.0,0.00013719
50.0,0.00013835
55.0,0.00013926
60.0,0.00013999
65.0,0.00014057
70.0,0.00014103
75.0,0.0001414
80.0,0.0001417
85.0,0.00014193
90.0,0.00014213
95.0,0.00014228
100.0,0.00014241
