energy_MeV,niel_MeV_cm2_g
0.0001,7.5413
0.00015,8.2405
0.0002,8.7993
0.00025,9.1394
0.0003,9.3133
0.00035,9.388
0.0004,9.4004
0.00045,9.3723
0.0005,9.3174
0.00055,9.2446
0.0006,9.1597
0.00065,9.0668
0.0007,8.9689
0.00075,8.8679
0.0008,8.7653
0.00085,8.6622
0.0009,8.5594
0.00095,8.4573
0.001,8.3563
0.0015,7.4462
0.002,6.7202
0.0025,6.138
0.003,5.6616
0.0035,5.2638
0.004,4.9261
0.0045,4.6351
0.005,4.3813
0.0055,4.1577
0.006,3.9588
0.0065,3.7807
0.007,3.62
0.0075,3.4742
0.008,3.3412
0.0085,3.2192
0.009,3.107
0.0095,3.0033
0.01,2.9071
0.015,2.2231
0.02,1.8178
0.025,1.5464
0.03,1.3505
0.035,1.2016
0.04,1.0844
0.045,0.98934
0.05,0.91061
0.055,0.84458
0.06,0.78835
0.065,0.73976
0.07,0.69732
0.075,0.6599
0.08,0.62663
0.085,0.59683
0.09,0.56998
0.095,0.54565
0.1,0.52349
0.15,0.37622
0.2,0.29229
0.25,0.23976
0.3,0.20383
0.35,0.17764
0.4,0.15765
0.45,0.14187
0.5,0.12909
0.55,0.11829
0.6,0.10909
0.65,0.10124
0.7,0.094463
0.75,0.088556
0.8,0.083358
0.85,0.078748
0.9,0.074631
0.95,0.070931
1.0,0.067587
1.5,0.046073
2.0,0.035055
2.5,0.028339
3.0,0.023809
3.5,0.020565
4.0,0.018368
4.5,0.016693
5.0,0.015269
5.5,0.014097
6.0,0.01314
6.5,0.012351
7.0,0.011691
7.5,0.011126
8.0,0.010632
8.5,0.010192
9.0,0.0097951
9.5,0.0094336
10.0,0.009103
15.0,0.0070012
20.0,0.0060788
25.0,0.0055544
30.0,0.005159
35.0,0.0048195
40.0,0.0045234
45.0,0.0042692
50.0,0.0040538
55.0,0.0038715
60.0,0.003716
65.0,0.0035814
70.0,0.0034628
75.0,0.0033566
80.0,0.0032598
85.0,0.0031705
90.0,0.0030873
95.0,0.0030093
100.0,0.0029357
150.0,0.0023936
200.0,0.0021153
250.0,0.0019814
300.0,0.0019112
350.0,0.0018669
400.0,0.0018354
450.0,0.0018142
500.0,0.0018029
550.0,0.0018007
600.0,0.0018048
650.0,0.0018111
700.0,0.0018152
750.0,0.0018135
800.0,0.0018044
850.0,0.001789
900.0,0.0017722
950.0,0.0017629
1000.0,0.0017738
