energy_MeV,niel_MeV_cm2_g
0.04,3.3681e-05
0.045,3.9189e-05
0.05,4.313e-05
0.055,4.5876e-05
0.06,4.7813e-05
0.065,4.9187e-05
0.07,5.0159e-05
0.075,5.0841e-05
0.08,5.131e-05
0.085,5.162e-05
0.09,5.1811e-05
0.095,5.1912e-05
0.1,5.1946e-05
0.15,5.1298e-05
0.2,5.2059e-05
0.25,5.2494e-05
0.3,5.2957e-05
0.35,5.3502e-05
0.4,5.4122e-05
0.45,5.48e-05
0.5,5.5517e-05
0.55,5.626e-05
0.6,5.7018e-05
0.65,5.7784e-05
0.7,5.8551e-05
0.75,5.9316e-05
0.8,6.0076e-05
0.85,6.0828e-05
0.9,6.157e-05
0.95,6.2303e-05
1.0,6.3024e-05
1.5,6.9583e-05
2.0,7.5056e-05
2.5,7.9678e-05
3.0,8.365e-05
3.5,8.7117e-05
4.0,9.0184e-05
4.5,9.2927e-05
5.0,9.5404e-05
5.5,9.7657e-05
6.0,9.9721e-05
6.5,0.00010162
7.0,0.00010338
7.5,0.00010502
8.0,0.00010655
8.5,0.00010798
9.0,0.00010933
9.5,0.0001106
10.0,0.00011179
15.0,0.00012097
20.0,0.00012697
25.0,0.00013116
30.0,0.00013419
35.0,0.00013641
40.0,0.00013805
45.0,0.00013926
50.0,0.00014015
55.0,0.0001408
60.0,0.00014127
65.0,0.00014159
70.0,0.00014182
75.0,0.00014196
80.0,0.00014204
85.0,0.00014207
90.0,0.00014207
95.0,0.00014205
100.0,0.00014201
