energy_MeV,niel_MeV_cm2_g
0.0001,1.1575
0.00015,1.4637
0.0002,1.6671
0.00025,1.8142
0.0003,1.926
0.00035,2.0137
0.0004,2.0841
0.00045,2.1414
0.0005,2.1887
0.00055,2.228
0.0006,2.2609
0.00065,2.2885
0.0007,2.3117
0.00075,2.3312
0.0008,2.3476
0.00085,2.3612
0.0009,2.3726
0.00095,2.382
0.001,2.3896
0.0015,2.405
0.002,2.3664
0.0025,2.3087
0.003,2.2446
0.0035,2.1795
0.004,2.1158
0.0045,2.0546
0.005,1.9963
0.0055,1.941
0.006,1.8888
0.0065,1.8394
0.007,1.7928
0.0075,1.7487
0.008,1.7069
0.0085,1.6673
0.009,1.6298
0.0095,1.5941
0.01,1.5602
0.015,1.2942
0.02,1.1144
0.025,0.98356
0.03,0.88346
0.035,0.80402
0.04,0.7392
0.045,0.68516
0.05,0.6393
0.055,0.59984
0.06,0.56546
0.065,0.53522
0.07,0.50836
0.075,0.48434
0.08,0.46272
0.085,0.44312
0.09,0.42528
0.095,0.40896
0.1,0.39396
0.15,0.29102
0.2,0.23301
0.25,0.19587
0.3,0.17045
0.35,0.1515
0.4,0.13686
0.45,0.12514
0.5,0.1155
0.55,0.10743
0.6,0.10055
0.65,0.094484
0.7,0.089067
0.75,0.084192
0.8,0.07964
0.85,0.07558
0.9,0.071934
0.95,0.068642
1.0,0.065654
1.5,0.045665
2.0,0.035159
2.5,0.028668
3.0,0.024247
3.5,0.021037
4.0,0.018607
4.5,0.016735
5.0,0.015259
5.5,0.014042
6.0,0.013018
6.5,0.012154
7.0,0.011421
7.5,0.010792
8.0,0.010247
8.5,0.0097722
9.0,0.0093549
9.5,0.0089861
10.0,0.0086582
15.0,0.0066733
20.0,0.0057668
25.0,0.0052659
30.0,0.0049383
35.0,0.0046946
40.0,0.0045009
45.0,0.0043434
50.0,0.0042147
55.0,0.0041096
60.0,0.0040237
65.0,0.0039531
70.0,0.0038947
75.0,0.0038458
80.0,0.0038041
85.0,0.0037679
90.0,0.0037358
95.0,0.0037067
100.0,0.0036798
150.0,0.0034685
200.0,0.0033402
250.0,0.0032951
300.0,0.0033069
350.0,0.0033493
400.0,0.0034065
450.0,0.0034717
500.0,0.0035423
550.0,0.0036169
600.0,0.0036931
650.0,0.0037675
700.0,0.0038356
750.0,0.0038925
800.0,0.0039344
850.0,0.0039594
900.0,0.0039687
950.0,0.0039676
1000.0,0.0039657
