energy_MeV,niel_MeV_cm2_g
0.04,3.112e-06
0.045,3.932e-06
0.05,4.5014e-06
0.055,4.9053e-06
0.06,5.196e-06
0.065,5.4073e-06
0.07,5.5617e-06
0.075,5.6745e-06
0.08,5.7566e-06
0.085,5.8156e-06
0.09,5.8572e-06
0.095,5.8855e-06
0.1,5.9036e-06
0.15,6.7943e-06
0.2,7.6239e-06
0.25,8.2985e-06
0.3,8.9351e-06
0.35,9.4689e-06
0.4,9.9439e-06
0.45,1.0381e-05
0.5,1.0792e-05
0.55,1.1182e-05
0.6,1.2124e-05
0.65,1.3679e-05
0.7,1.5398e-05
0.75,1.7182e-05
0.8,1.8972e-05
0.85,2.0734e-05
0.9,2.2447e-05
0.95,2.4101e-05
1.0,2.569e-05
1.5,3.8289e-05
2.0,4.6799e-05
2.5,5.3062e-05
3.0,5.7972e-05
3.5,6.1992e-05
4.0,6.5384e-05
4.5,6.8312e-05
5.0,7.0882e-05
5.5,7.3167e-05
6.0,7.5221e-05
6.5,7.7081e-05
7.0,7.8779e-05
7.5,8.0337e-05
8.0,8.1774e-05
8.5,8.3104e-05
9.0,8.434e-05
9.5,8.5492e-05
10.0,8.6568e-05
15.0,9.4383e-05
20.0,9.8901e-05
25.0,0.00010158
30.0,0.00010311
35.0,0.0001039
40.0,0.00010421
45.0,0.00010421
50.0,0.000104
55.0,0.00010369
60.0,0.0001033
65.0,0.00010289
70.0,0.00010247
75.0,0.00010206
80.0,0.00010166
85.0,0.00010128
90.0,0.00010093
95.0,0.0001006
100.0,0.00010029
