energy_MeV,niel_MeV_cm2_g
0.0001,0.93675
0.00015,1.2426
0.0002,1.445
0.00025,1.572
0.0003,1.6553
0.00035,1.7112
0.0004,1.7488
0.00045,1.7737
0.0005,1.7953
0.00055,1.827
0.0006,1.8513
0.00065,1.8697
0.0007,1.8835
0.00075,1.8936
0.0008,1.9006
0.00085,1.9051
0.0009,1.9076
0.00095,1.9085
0.001,1.9079
0.0015,1.8605
0.002,1.7873
0.0025,1.7128
0.003,1.6429
0.0035,1.5787
0.004,1.5203
0.0045,1.4669
0.005,1.4181
0.0055,1.3733
0.006,1.332
0.0065,1.2938
0.007,1.2584
0.0075,1.2253
0.008,1.1944
0.0085,1.1655
0.009,1.1383
0.0095,1.1127
0.01,1.0885
0.015,0.90315
0.02,0.7804
0.025,0.69157
0.03,0.6236
0.035,0.56953
0.04,0.52528
0.045,0.48827
0.05,0.45676
0.055,0.42956
0.06,0.40582
0.065,0.38488
0.07,0.36626
0.075,0.34957
0.08,0.3345
0.085,0.32083
0.09,0.30836
0.095,0.29693
0.1,0.28641
0.15,0.21372
0.2,0.17203
0.25,0.14491
0.3,0.12574
0.35,0.11139
0.4,0.099998
0.45,0.09085
0.5,0.083337
0.55,0.077047
0.6,0.071698
0.65,0.067069
0.7,0.063024
0.75,0.059454
0.8,0.056295
0.85,0.053479
0.9,0.050952
0.95,0.048672
1.0,0.046602
1.5,0.033042
2.0,0.025882
2.5,0.021185
3.0,0.017958
3.5,0.015632
4.0,0.013901
4.5,0.01255
5.0,0.011458
5.5,0.010557
6.0,0.0098028
6.5,0.0091627
7.0,0.0086135
7.5,0.0081372
8.0,0.0077198
8.5,0.0073507
9.0,0.0070217
9.5,0.0067264
10.0,0.0064598
15.0,0.0047563
20.0,0.0038988
25.0,0.0033756
30.0,0.0030129
35.0,0.0027403
40.0,0.0025262
45.0,0.0023536
50.0,0.0022119
55.0,0.0020935
60.0,0.001993
65.0,0.0019065
70.0,0.0018308
75.0,0.0017639
80.0,0.001704
85.0,0.0016498
90.0,0.0016004
95.0,0.0015551
100.0,0.0015132
150.0,0.0012233
200.0,0.0010723
250.0,0.00099021
300.0,0.00094165
350.0,0.00090981
400.0,0.00088788
450.0,0.00087345
500.0,0.00086535
550.0,0.00086233
600.0,0.00086257
650.0,0.00086383
700.0,0.00086381
750.0,0.00086074
800.0,0.00085401
850.0,0.00084459
900.0,0.00083526
950.0,0.00083066
1000.0,0.00083769
