energy_MeV,niel_MeV_cm2_g
0.04,4.3275e-08
0.045,4.54e-07
0.05,7.4934e-07
0.055,1.694e-06
0.06,3.2096e-06
0.065,4.3987e-06
0.07,5.346e-06
0.075,6.1104e-06
0.08,6.7345e-06
0.085,7.2491e-06
0.09,7.6773e-06
0.095,8.0365e-06
0.1,8.3401e-06
0.15,9.8182e-06
0.2,1.0296e-05
0.25,1.055e-05
0.3,1.1924e-05
0.35,1.3957e-05
0.4,1.5789e-05
0.45,1.7472e-05
0.5,1.9041e-05
0.55,2.0516e-05
0.6,2.1913e-05
0.65,2.3242e-05
0.7,2.451e-05
0.75,2.5725e-05
0.8,2.6891e-05
0.85,2.8012e-05
0.9,2.9092e-05
0.95,3.0134e-05
1.0,3.114e-05
1.5,3.9687e-05
2.0,4.6311e-05
2.5,5.1702e-05
3.0,5.6233e-05
3.5,6.0128e-05
4.0,6.3537e-05
4.5,6.6559e-05
5.0,6.9269e-05
5.5,7.1721e-05
6.0,7.3955e-05
6.5,7.6005e-05
7.0,7.7896e-05
7.5,7.9648e-05
8.0,8.1278e-05
8.5,8.2801e-05
9.0,8.4227e-05
9.5,8.5568e-05
10.0,8.6831e-05
15.0,9.6411e-05
20.0,0.0001026
25.0,0.00010692
30.0,0.00011006
35.0,0.00011239
40.0,0.00011415
45.0,0.00011548
50.0,0.0001165
55.0,0.00011729
60.0,0.00011789
65.0,0.00011834
70.0,0.00011869
75.0,0.00011896
80.0,0.00011915
85.0,0.0001193
90.0,0.0001194
95.0,0.00011947
100.0,0.00011952
