energy_MeV,niel_MeV_cm2_g
0.0001,3.0977
0.00015,3.7297
0.0002,4.0536
0.00025,4.4361
0.0003,4.6723
0.00035,4.8203
0.0004,4.9117
0.00045,4.9654
0.0005,4.9929
0.00055,5.0021
0.0006,4.998
0.00065,4.9843
0.0007,4.9636
0.00075,4.9376
0.0008,4.9079
0.00085,4.8753
0.0009,4.8408
0.00095,4.8048
0.001,4.7678
0.0015,4.3938
0.002,4.0625
0.0025,3.782
0.003,3.5437
0.0035,3.3388
0.004,3.1606
0.0045,3.004
0.005,2.8649
0.0055,2.7405
0.006,2.6283
0.0065,2.5265
0.007,2.4336
0.0075,2.3485
0.008,2.2701
0.0085,2.1976
0.009,2.1303
0.0095,2.0676
0.01,2.0091
0.015,1.5811
0.02,1.317
0.025,1.1352
0.03,1.0015
0.035,0.89826
0.04,0.81602
0.045,0.74872
0.05,0.69235
0.055,0.64462
0.06,0.60362
0.065,0.56798
0.07,0.53667
0.075,0.50892
0.08,0.48415
0.085,0.46188
0.09,0.44171
0.095,0.42332
0.1,0.40653
0.15,0.29313
0.2,0.23033
0.25,0.19056
0.3,0.16317
0.35,0.14309
0.4,0.12769
0.45,0.11549
0.5,0.10556
0.55,0.09732
0.6,0.090357
0.65,0.084392
0.7,0.07891
0.75,0.074091
0.8,0.069843
0.85,0.066071
0.9,0.062697
0.95,0.059662
1.0,0.056915
1.5,0.039154
2.0,0.029985
2.5,0.024363
3.0,0.020553
3.5,0.017806
4.0,0.015813
4.5,0.014259
5.0,0.013015
5.5,0.012007
6.0,0.011173
6.5,0.010476
7.0,0.0098873
7.5,0.009385
8.0,0.0089508
8.5,0.0085705
9.0,0.0082335
9.5,0.0079323
10.0,0.007661
15.0,0.0059753
20.0,0.0052435
25.0,0.0048675
30.0,0.0046097
35.0,0.004389
40.0,0.0041887
45.0,0.0040101
50.0,0.0038553
55.0,0.003724
60.0,0.0036136
65.0,0.0035211
70.0,0.003443
75.0,0.0033763
80.0,0.0033184
85.0,0.0032672
90.0,0.0032211
95.0,0.0031787
100.0,0.0031392
150.0,0.0028219
200.0,0.0026144
250.0,0.0025086
300.0,0.0024708
350.0,0.0024703
400.0,0.0024887
450.0,0.0025165
500.0,0.0025491
550.0,0.0025838
600.0,0.0026181
650.0,0.0026489
700.0,0.0026731
750.0,0.002688
800.0,0.0026923
850.0,0.0026874
900.0,0.0026773
950.0,0.0026698
1000.0,0.0026765
