energy_MeV,niel_MeV_cm2_g
0.04,1.7675e-06
0.045,2.6873e-06
0.05,3.3399e-06
0.055,3.814e-06
0.06,4.1648e-06
0.065,4.4281e-06
0.07,4.6279e-06
0.075,4.7808e-06
0.08,4.8984e-06
0.085,5.3701e-06
0.09,7.7824e-06
0.095,9.8672e-06
0.1,1.1686e-05
0.15,2.2032e-05
0.2,2.7279e-05
0.25,3.0428e-05
0.3,3.2693e-05
0.35,3.452e-05
0.4,3.6098e-05
0.45,3.7517e-05
0.5,3.8826e-05
0.55,4.0051e-05
0.6,4.121e-05
0.65,4.2314e-05
0.7,4.337e-05
0.75,4.4385e-05
0.8,4.5362e-05
0.85,4.6305e-05
0.9,4.7218e-05
0.95,4.8102e-05
1.0,4.8959e-05
1.5,5.6369e-05
2.0,6.2258e-05
2.5,6.7128e-05
3.0,7.1265e-05
3.5,7.4851e-05
4.0,7.8009e-05
4.5,8.0823e-05
5.0,8.3358e-05
5.5,8.566e-05
6.0,8.7766e-05
6.5,8.9703e-05
7.0,9.1496e-05
7.5,9.3162e-05
8.0,9.4716e-05
8.5,9.6172e-05
9.0,9.7538e-05
9.5,9.8825e-05
10.0,0.00010004
15.0,0.00010935
20.0,0.00011545
25.0,0.00011973
30.0,0.00012285
35.0,0.00012515
40.0,0.00012686
45.0,0.00012814
50.0,0.0001291
55.0,0.00012981
60.0,0.00013033
65.0,0.00013071
70.0,0.00013098
75.0,0.00013117
80.0,0.00013129
85.0,0.00013136
90.0,0.00013139
95.0,0.0001314
100.0,0.00013138
