energy_MeV,niel_MeV_cm2_g
0.0001,0.98839
0.00015,1.4185
0.0002,1.6953
0.00025,1.8906
0.0003,2.0359
0.00035,2.1477
0.0004,2.2358
0.00045,2.3064
0.0005,2.3636
0.00055,2.4104
0.0006,2.4489
0.00065,2.4806
0.0007,2.5067
0.00075,2.5283
0.0008,2.5459
0.00085,2.5603
0.0009,2.5719
0.00095,2.5811
0.001,2.5882
0.0015,2.5895
0.002,2.5325
0.0025,2.4576
0.003,2.3784
0.0035,2.3002
0.004,2.2253
0.0045,2.1544
0.005,2.0876
0.0055,2.0249
0.006,1.9661
0.0065,1.9108
0.007,1.8589
0.0075,1.8101
0.008,1.7641
0.0085,1.7207
0.009,1.6797
0.0095,1.6409
0.01,1.604
0.015,1.3186
0.02,1.1286
0.025,0.99177
0.03,0.88778
0.035,0.80569
0.04,0.73899
0.045,0.68357
0.05,0.63669
0.055,0.59645
0.06,0.56147
0.065,0.53075
0.07,0.50354
0.075,0.47923
0.08,0.45738
0.085,0.43761
0.09,0.41963
0.095,0.4032
0.1,0.38812
0.15,0.28541
0.2,0.228
0.25,0.19101
0.3,0.16556
0.35,0.14647
0.4,0.13166
0.45,0.11988
0.5,0.11024
0.55,0.10219
0.6,0.095349
0.65,0.089463
0.7,0.084285
0.75,0.079606
0.8,0.075208
0.85,0.071293
0.9,0.067783
0.95,0.064619
1.0,0.061751
1.5,0.042838
2.0,0.032928
2.5,0.026829
3.0,0.022693
3.5,0.019702
4.0,0.017437
4.5,0.015688
5.0,0.014318
5.5,0.013192
6.0,0.012246
6.5,0.011448
7.0,0.01077
7.5,0.01019
8.0,0.0096885
8.5,0.0092521
9.0,0.0088693
9.5,0.0085308
10.0,0.0082293
15.0,0.0063844
20.0,0.0055575
25.0,0.0051208
30.0,0.0048328
35.0,0.0046061
40.0,0.0044156
45.0,0.0042553
50.0,0.0041228
55.0,0.004015
60.0,0.0039282
65.0,0.0038585
70.0,0.0038022
75.0,0.0037559
80.0,0.003717
85.0,0.0036832
90.0,0.0036529
95.0,0.0036248
100.0,0.003598
150.0,0.0033517
200.0,0.003184
250.0,0.0031241
300.0,0.0031327
350.0,0.0031702
400.0,0.0032161
450.0,0.0032649
500.0,0.003318
550.0,0.0033773
600.0,0.0034427
650.0,0.003511
700.0,0.0035762
750.0,0.0036313
800.0,0.0036701
850.0,0.0036894
900.0,0.0036912
950.0,0.0036838
1000.0,0.0036828
