energy_MeV,niel_MeV_cm2_g
0.04,0.0
0.045,0.0
0.05,0.0
0.055,2.8791e-07
0.06,2.4453e-06
0.065,4.1384e-06
0.07,5.495e-06
0.075,6.601e-06
0.08,8.1055e-06
0.085,1.0077e-05
0.09,1.176e-05
0.095,1.3211e-05
0.1,1.4472e-05
0.15,2.148e-05
0.2,2.5332e-05
0.25,2.8796e-05
0.3,3.1345e-05
0.35,3.3416e-05
0.4,3.5201e-05
0.45,3.6796e-05
0.5,3.8251e-05
0.55,3.9601e-05
0.6,4.0864e-05
0.65,4.2056e-05
0.7,4.3187e-05
0.75,4.4266e-05
0.8,4.5297e-05
0.85,4.6287e-05
0.9,4.7239e-05
0.95,4.8156e-05
1.0,4.9042e-05
1.5,5.6575e-05
2.0,6.2457e-05
2.5,6.7278e-05
3.0,7.1351e-05
3.5,7.4868e-05
4.0,7.7956e-05
4.5,8.0702e-05
5.0,8.3171e-05
5.5,8.5409e-05
6.0,8.7454e-05
6.5,8.9333e-05
7.0,9.1068e-05
7.5,9.2679e-05
8.0,9.4181e-05
8.5,9.5584e-05
9.0,9.6901e-05
9.5,9.8139e-05
10.0,9.9307e-05
15.0,0.00010819
20.0,0.0001139
25.0,0.00011782
30.0,0.00012057
35.0,0.00012253
40.0,0.00012393
45.0,0.0001249
50.0,0.00012558
55.0,0.00012603
60.0,0.00012631
65.0,0.00012648
70.0,0.00012655
75.0,0.00012656
80.0,0.00012652
85.0,0.00012645
90.0,0.00012635
95.0,0.00012624
100.0,0.00012612
