energy_MeV,niel_MeV_cm2_g
0.0001,0.48496
0.00015,0.74671
0.0002,0.94185
0.00025,1.0846
0.0003,1.1945
0.00035,1.2822
0.0004,1.3538
0.00045,1.4133
0.0005,1.4634
0.00055,1.5061
0.0006,1.5428
0.00065,1.5745
0.0007,1.6021
0.00075,1.6261
0.0008,1.6472
0.00085,1.6656
0.0009,1.6818
0.00095,1.6961
0.001,1.7086
0.0015,1.7725
0.002,1.778
0.0025,1.7593
0.003,1.7295
0.0035,1.6946
0.004,1.6577
0.0045,1.6204
0.005,1.5835
0.0055,1.5476
0.006,1.5128
0.0065,1.4793
0.007,1.4472
0.0075,1.4164
0.008,1.387
0.0085,1.3587
0.009,1.3317
0.0095,1.3059
0.01,1.2811
0.015,1.0811
0.02,0.94092
0.025,0.83671
0.03,0.75579
0.035,0.69086
0.04,0.63743
0.045,0.59258
0.05,0.55431
0.055,0.52121
0.06,0.49227
0.065,0.46671
0.07,0.44395
0.075,0.42354
0.08,0.40511
0.085,0.38838
0.09,0.37312
0.095,0.35913
0.1,0.34625
0.15,0.25731
0.2,0.20676
0.25,0.17394
0.3,0.15095
0.35,0.13378
0.4,0.12052
0.45,0.11005
0.5,0.10145
0.55,0.09426
0.6,0.088138
0.65,0.082859
0.7,0.07813
0.75,0.073919
0.8,0.070104
0.85,0.066698
0.9,0.063636
0.95,0.060869
1.0,0.058354
1.5,0.040948
2.0,0.03157
2.5,0.025771
3.0,0.02182
3.5,0.018948
4.0,0.016764
4.5,0.015059
5.0,0.013703
5.5,0.012588
6.0,0.011654
6.5,0.010867
7.0,0.010195
7.5,0.0096148
8.0,0.0091077
8.5,0.0086613
9.0,0.0082659
9.5,0.0079137
10.0,0.0075982
15.0,0.0056482
20.0,0.0047401
25.0,0.0042303
30.0,0.0038941
35.0,0.0036449
40.0,0.0034485
45.0,0.0032902
50.0,0.0031619
55.0,0.0030578
60.0,0.0029733
65.0,0.0029047
70.0,0.0028486
75.0,0.0028022
80.0,0.0027634
85.0,0.0027304
90.0,0.0027017
95.0,0.0026762
100.0,0.0026531
150.0,0.0024748
200.0,0.0023549
250.0,0.0023025
300.0,0.0023032
350.0,0.0023353
400.0,0.0023825
450.0,0.0024353
500.0,0.0024894
550.0,0.0025427
600.0,0.0025945
650.0,0.002644
700.0,0.0026898
750.0,0.0027302
800.0,0.0027628
850.0,0.0027859
900.0,0.0027982
950.0,0.0028
1000.0,0.0027929
