energy_MeV,niel_MeV_cm2_g
0.04,0.0
0.045,0.0
0.05,0.0
0.055,0.0
0.06,2.0434e-06
0.065,4.1003e-06
0.07,5.758e-06
0.075,7.1125e-06
0.08,8.2324e-06
0.085,9.1682e-06
0.09,9.9576e-06
0.095,1.0629e-05
0.1,1.1205e-05
0.15,1.421e-05
0.2,1.5337e-05
0.25,1.5972e-05
0.3,1.6444e-05
0.35,1.6856e-05
0.4,1.7244e-05
0.45,1.7622e-05
0.5,1.7994e-05
0.55,1.8362e-05
0.6,1.8726e-05
0.65,1.9086e-05
0.7,1.944e-05
0.75,1.9789e-05
0.8,2.0133e-05
0.85,2.0471e-05
0.9,2.0803e-05
0.95,2.1129e-05
1.0,2.1448e-05
1.5,2.7269e-05
2.0,3.5521e-05
2.5,4.263e-05
3.0,4.8493e-05
3.5,5.3377e-05
4.0,5.7516e-05
4.5,6.1084e-05
5.0,6.4205e-05
5.5,6.697e-05
6.0,6.9445e-05
6.5,7.1679e-05
7.0,7.3712e-05
7.5,7.5572e-05
8.0,7.7285e-05
8.5,7.8868e-05
9.0,8.0339e-05
9.5,8.1709e-05
10.0,8.299e-05
15.0,9.2374e-05
20.0,9.8041e-05
25.0,0.00010168
30.0,0.00010406
35.0,0.0001056
40.0,0.00010656
45.0,0.00010714
50.0,0.00010744
55.0,0.00010756
60.0,0.00010754
65.0,0.00010745
70.0,0.0001073
75.0,0.00010712
80.0,0.00010692
85.0,0.00010671
90.0,0.0001065
95.0,0.00010629
100.0,0.00010608
