energy_MeV,niel_MeV_cm2_g
0.0001,1.4136
0.00015,1.834
0.0002,2.0828
0.00025,2.2437
0.0003,2.3527
0.00035,2.4282
0.0004,2.4808
0.00045,2.5171
0.0005,2.5413
0.00055,2.5566
0.0006,2.5649
0.00065,2.5679
0.0007,2.5667
0.00075,2.5622
0.0008,2.5551
0.00085,2.5458
0.0009,2.5348
0.00095,2.5225
0.001,2.5091
0.0015,2.3824
0.002,2.2975
0.0025,2.2021
0.003,2.1091
0.0035,2.0222
0.004,1.9422
0.0045,1.8688
0.005,1.8016
0.0055,1.7398
0.006,1.6829
0.0065,1.6303
0.007,1.5815
0.0075,1.5362
0.008,1.4939
0.0085,1.4544
0.009,1.4173
0.0095,1.3825
0.01,1.3497
0.015,1.1012
0.02,0.93995
0.025,0.82519
0.03,0.73852
0.035,0.67032
0.04,0.61501
0.045,0.5691
0.05,0.53028
0.055,0.49696
0.06,0.468
0.065,0.44257
0.07,0.42002
0.075,0.39988
0.08,0.38177
0.085,0.36538
0.09,0.35047
0.095,0.33684
0.1,0.32433
0.15,0.23932
0.2,0.19213
0.25,0.16167
0.3,0.14021
0.35,0.12407
0.4,0.11081
0.45,0.10023
0.5,0.091589
0.55,0.084381
0.6,0.078259
0.65,0.073
0.7,0.068443
0.75,0.064454
0.8,0.060931
0.85,0.057796
0.9,0.054986
0.95,0.052453
1.0,0.050157
1.5,0.035189
2.0,0.027214
2.5,0.022199
3.0,0.018792
3.5,0.016386
4.0,0.014614
4.5,0.013228
5.0,0.012108
5.5,0.011186
6.0,0.010414
6.5,0.0097601
7.0,0.0091986
7.5,0.0087111
8.0,0.0082838
8.5,0.0079061
9.0,0.0075696
9.5,0.007268
10.0,0.006996
15.0,0.0052566
20.0,0.0043522
25.0,0.0037743
30.0,0.0033652
35.0,0.0030597
40.0,0.0028232
45.0,0.0026342
50.0,0.002479
55.0,0.0023481
60.0,0.0022352
65.0,0.0021357
70.0,0.0020466
75.0,0.0019659
80.0,0.001892
85.0,0.0018239
90.0,0.0017609
95.0,0.0017024
100.0,0.0016479
150.0,0.0012701
200.0,0.0010795
250.0,0.00097703
300.0,0.00091553
350.0,0.0008738
400.0,0.00084287
450.0,0.00081908
500.0,0.00080081
550.0,0.00078699
600.0,0.00077657
650.0,0.00076842
700.0,0.00076145
750.0,0.00075473
800.0,0.00074772
850.0,0.00074039
900.0,0.00073335
950.0,0.00072793
1000.0,0.00072623
