energy_MeV,niel_MeV_cm2_g
0.04,5.4354e-06
0.045,5.4916e-06
0.05,5.4899e-06
0.055,5.4549e-06
0.06,5.401e-06
0.065,5.3366e-06
0.07,5.267e-06
0.075,5.1954e-06
0.08,5.1237e-06
0.085,5.0533e-06
0.09,4.9849e-06
0.095,4.919e-06
0.1,4.8558e-06
0.15,4.3678e-06
0.2,4.4361e-06
0.25,4.7161e-06
0.3,4.9336e-06
0.35,5.1245e-06
0.4,5.3024e-06
0.45,5.4726e-06
0.5,5.6377e-06
0.55,5.7985e-06
0.6,5.9558e-06
0.65,6.1095e-06
0.7,6.26e-06
0.75,6.4072e-06
0.8,6.5511e-06
0.85,6.6919e-06
0.9,7.0515e-06
0.95,7.8486e-06
1.0,8.8501e-06
1.5,2.1342e-05
2.0,3.1641e-05
2.5,3.9326e-05
3.0,4.5248e-05
3.5,4.9985e-05
4.0,5.3895e-05
4.5,5.7203e-05
5.0,6.0057e-05
5.5,6.2557e-05
6.0,6.4775e-05
6.5,6.6762e-05
7.0,6.8557e-05
7.5,7.0191e-05
8.0,7.1686e-05
8.5,7.306e-05
9.0,7.4329e-05
9.5,7.5505e-05
10.0,7.6598e-05
15.0,8.4357e-05
20.0,8.8655e-05
25.0,9.106e-05
30.0,9.2302e-05
35.0,9.28e-05
40.0,9.2824e-05
45.0,9.255e-05
50.0,9.2099e-05
55.0,9.1551e-05
60.0,9.0959e-05
65.0,9.0358e-05
70.0,8.977e-05
75.0,8.9206e-05
80.0,8.8674e-05
85.0,8.8177e-05
90.0,8.7716e-05
95.0,8.729e-05
100.0,8.6897e-05
