energy_MeV,niel_MeV_cm2_g
0.0001,0.76757
0.00015,0.93055
0.0002,1.0553
0.00025,1.1295
0.0003,1.1753
0.00035,1.2035
0.0004,1.2202
0.00045,1.229
0.0005,1.2324
0.00055,1.2318
0.0006,1.2284
0.00065,1.2229
0.0007,1.2159
0.00075,1.2077
0.0008,1.1987
0.00085,1.189
0.0009,1.1814
0.00095,1.1892
0.001,1.1955
0.0015,1.2114
0.002,1.1912
0.0025,1.1613
0.003,1.1293
0.0035,1.0977
0.004,1.0676
0.0045,1.0392
0.005,1.0125
0.0055,0.98751
0.006,0.96401
0.0065,0.94191
0.007,0.9211
0.0075,0.90145
0.008,0.88288
0.0085,0.86527
0.009,0.84857
0.0095,0.83268
0.01,0.81754
0.015,0.69724
0.02,0.61338
0.025,0.55058
0.03,0.50132
0.035,0.46139
0.04,0.42823
0.045,0.40015
0.05,0.376
0.055,0.35502
0.06,0.33659
0.065,0.32023
0.07,0.30559
0.075,0.2924
0.08,0.28044
0.085,0.26954
0.09,0.25956
0.095,0.25038
0.1,0.24191
0.15,0.18258
0.2,0.14783
0.25,0.12495
0.3,0.10864
0.35,0.096368
0.4,0.086631
0.45,0.078789
0.5,0.072331
0.55,0.066911
0.6,0.062292
0.65,0.058305
0.7,0.054831
0.75,0.051782
0.8,0.049083
0.85,0.046676
0.9,0.044515
0.95,0.042562
1.0,0.040789
1.5,0.029137
2.0,0.0229
2.5,0.018754
3.0,0.015928
3.5,0.013885
4.0,0.012357
4.5,0.011157
5.0,0.010179
5.5,0.0093711
6.0,0.0086942
6.5,0.0081189
7.0,0.0076237
7.5,0.0071924
8.0,0.0068129
8.5,0.0064759
9.0,0.0061743
9.5,0.0059028
10.0,0.0056569
15.0,0.004069
20.0,0.003253
25.0,0.0027487
30.0,0.0024007
35.0,0.0021433
40.0,0.0019441
45.0,0.0017851
50.0,0.001655
55.0,0.0015465
60.0,0.0014543
65.0,0.0013747
70.0,0.001305
75.0,0.0012433
80.0,0.0011882
85.0,0.0011385
90.0,0.0010935
95.0,0.0010525
100.0,0.0010149
150.0,0.00076436
200.0,0.00063704
250.0,0.00056441
300.0,0.00051856
350.0,0.00048701
400.0,0.00046388
450.0,0.00044624
500.0,0.00043251
550.0,0.00042166
600.0,0.00041297
650.0,0.00040581
700.0,0.00039968
750.0,0.00039418
800.0,0.00038904
850.0,0.00038417
900.0,0.00037967
950.0,0.00037586
1000.0,0.00037326
