energy_MeV,niel_MeV_cm2_g
0.04,2.4091e-05
0.045,2.5291e-05
0.05,2.651e-05
0.055,2.727e-05
0.06,2.7728e-05
0.065,2.7984e-05
0.07,2.81e-05
0.075,2.8122e-05
0.08,2.8077e-05
0.085,2.7986e-05
0.09,2.7865e-05
0.095,2.7722e-05
0.1,2.7567e-05
0.15,2.5958e-05
0.2,2.4793e-05
0.25,2.4056e-05
0.3,2.3611e-05
0.35,2.3365e-05
0.4,2.3255e-05
0.45,2.324e-05
0.5,2.3293e-05
0.55,2.3395e-05
0.6,2.3534e-05
0.65,2.3699e-05
0.7,2.3883e-05
0.75,2.4081e-05
0.8,2.4289e-05
0.85,2.4505e-05
0.9,2.4726e-05
0.95,2.495e-05
1.0,2.5176e-05
1.5,3.0955e-05
2.0,4.0027e-05
2.5,4.7647e-05
3.0,5.377e-05
3.5,5.8763e-05
4.0,6.2924e-05
4.5,6.6463e-05
5.0,6.9525e-05
5.5,7.2213e-05
6.0,7.4601e-05
6.5,7.6742e-05
7.0,7.8678e-05
7.5,8.044e-05
8.0,8.2054e-05
8.5,8.3539e-05
9.0,8.4912e-05
9.5,8.6185e-05
10.0,8.7369e-05
15.0,9.5845e-05
20.0,0.00010068
25.0,0.00010356
30.0,0.00010523
35.0,0.00010614
40.0,0.00010654
45.0,0.00010662
50.0,0.00010649
55.0,0.00010624
60.0,0.00010592
65.0,0.00010556
70.0,0.00010519
75.0,0.00010482
80.0,0.00010447
85.0,0.00010413
90.0,0.0001038
95.0,0.0001035
100.0,0.00010322
