energy_MeV,niel_MeV_cm2_g
0.0001,4.1128
0.00015,4.5102
0.0002,4.6822
0.00025,4.7489
0.0003,4.7595
0.00035,4.7378
0.0004,4.6969
0.00045,4.6445
0.0005,4.5851
0.00055,4.5217
0.0006,4.4561
0.00065,4.3898
0.0007,4.3235
0.00075,4.2578
0.0008,4.1932
0.00085,4.1297
0.0009,4.0677
0.00095,4.0072
0.001,3.9483
0.0015,3.469
0.002,3.1565
0.0025,2.9056
0.003,2.7002
0.0035,2.5285
0.004,2.3826
0.0045,2.2567
0.005,2.1467
0.0055,2.0496
0.006,1.963
0.0065,1.8852
0.007,1.8148
0.0075,1.7507
0.008,1.692
0.0085,1.6381
0.009,1.5883
0.0095,1.5421
0.01,1.4991
0.015,1.188
0.02,0.99768
0.025,0.86665
0.03,0.76981
0.035,0.69478
0.04,0.63462
0.045,0.58512
0.05,0.54357
0.055,0.50835
0.06,0.47802
0.065,0.45154
0.07,0.42819
0.075,0.40742
0.08,0.3888
0.085,0.37201
0.09,0.35677
0.095,0.34288
0.1,0.33014
0.15,0.2438
0.2,0.1936
0.25,0.16135
0.3,0.13882
0.35,0.12207
0.4,0.10888
0.45,0.098376
0.5,0.089798
0.55,0.082655
0.6,0.07661
0.65,0.07142
0.7,0.066905
0.75,0.062957
0.8,0.059474
0.85,0.056377
0.9,0.053604
0.95,0.051106
1.0,0.048843
1.5,0.03414
2.0,0.026445
2.5,0.021531
3.0,0.018196
3.5,0.015807
4.0,0.014104
4.5,0.012762
5.0,0.011637
5.5,0.010708
6.0,0.0099388
6.5,0.0092943
7.0,0.0087456
7.5,0.0082704
8.0,0.0078522
8.5,0.007479
9.0,0.0071425
9.5,0.0068367
10.0,0.0065573
15.0,0.0047312
20.0,0.003831
25.0,0.0032971
30.0,0.0029247
35.0,0.0026363
40.0,0.0024021
45.0,0.0022083
50.0,0.0020462
55.0,0.0019094
60.0,0.0017926
65.0,0.0016918
70.0,0.0016037
75.0,0.0015259
80.0,0.0014564
85.0,0.0013938
90.0,0.0013369
95.0,0.001285
100.0,0.0012374
150.0,0.00091548
200.0,0.00075173
250.0,0.00066174
300.0,0.00060795
350.0,0.00057293
400.0,0.00054844
450.0,0.00053051
500.0,0.0005171
550.0,0.00050697
600.0,0.0004992
650.0,0.000493
700.0,0.00048765
750.0,0.00048254
800.0,0.00047733
850.0,0.00047195
900.0,0.00046676
950.0,0.00046252
1000.0,0.0004605
