energy_MeV,niel_MeV_cm2_g
0.04,0.0
0.045,0.0
0.05,0.0
0.055,0.0
0.06,0.0
0.065,0.0
0.07,0.0
0.075,0.0
0.08,0.0
0.085,0.0
0.09,0.0
0.095,0.0
0.1,0.0
0.15,2.188e-06
0.2,3.4388e-06
0.25,4.3722e-06
0.3,5.0321e-06
0.35,5.5535e-06
0.4,5.9956e-06
0.45,6.3877e-06
0.5,7.5561e-06
0.55,9.2193e-06
0.6,1.0967e-05
0.65,1.2733e-05
0.7,1.4477e-05
0.75,1.6177e-05
0.8,1.7821e-05
0.85,1.9403e-05
0.9,2.0921e-05
0.95,2.2376e-05
1.0,2.377e-05
1.5,3.4988e-05
2.0,4.292e-05
2.5,4.8976e-05
3.0,5.3848e-05
3.5,5.7908e-05
4.0,6.1378e-05
4.5,6.4402e-05
5.0,6.7076e-05
5.5,6.9467e-05
6.0,7.1627e-05
6.5,7.3591e-05
7.0,7.539e-05
7.5,7.7046e-05
8.0,7.8578e-05
8.5,8.0001e-05
9.0,8.1327e-05
9.5,8.2566e-05
10.0,8.3728e-05
15.0,9.2308e-05
20.0,9.7504e-05
25.0,0.00010081
30.0,0.00010292
35.0,0.00010424
40.0,0.00010502
45.0,0.00010543
50.0,0.00010559
55.0,0.00010557
60.0,0.00010545
65.0,0.00010525
70.0,0.000105
75.0,0.00010473
80.0,0.00010445
85.0,0.00010417
90.0,0.0001039
95.0,0.00010363
100.0,0.00010337
