energy_MeV,niel_MeV_cm2_g
0.0001,0.29376
0.00015,0.67379
0.0002,1.0136
0.00025,1.2279
0.0003,1.371
0.00035,1.4697
0.0004,1.5651
0.00045,1.6565
0.0005,1.7277
0.00055,1.7837
0.0006,1.828
0.00065,1.8631
0.0007,1.8909
0.00075,1.9129
0.0008,1.9302
0.00085,1.9435
0.0009,1.9537
0.00095,1.9611
0.001,1.9663
0.0015,1.9496
0.002,1.8857
0.0025,1.8134
0.003,1.743
0.0035,1.6771
0.004,1.6164
0.0045,1.5606
0.005,1.5093
0.0055,1.462
0.006,1.4184
0.0065,1.3779
0.007,1.3402
0.0075,1.305
0.008,1.2721
0.0085,1.2413
0.009,1.2122
0.0095,1.1849
0.01,1.159
0.015,0.9602
0.02,0.82827
0.025,0.73278
0.03,0.65976
0.035,0.60173
0.04,0.55429
0.045,0.51466
0.05,0.48095
0.055,0.45177
0.06,0.42631
0.065,0.40389
0.07,0.38397
0.075,0.36614
0.08,0.35008
0.085,0.33551
0.09,0.32224
0.095,0.31009
0.1,0.29891
0.15,0.22203
0.2,0.17838
0.25,0.15001
0.3,0.12994
0.35,0.11489
0.4,0.10293
0.45,0.093348
0.5,0.085486
0.55,0.078953
0.6,0.073432
0.65,0.068693
0.7,0.064578
0.75,0.060967
0.8,0.057772
0.85,0.054923
0.9,0.052365
0.95,0.050055
1.0,0.047957
1.5,0.034185
2.0,0.026392
2.5,0.021546
3.0,0.018247
3.5,0.015882
4.0,0.01414
4.5,0.012771
5.0,0.011649
5.5,0.010723
6.0,0.00995
6.5,0.0092957
7.0,0.0087344
7.5,0.0082466
8.0,0.0078179
8.5,0.0074371
9.0,0.0070961
9.5,0.0067886
10.0,0.0065098
15.0,0.0047072
20.0,0.00379
25.0,0.0032265
30.0,0.0028354
35.0,0.0025429
40.0,0.002314
45.0,0.0021299
50.0,0.0019786
55.0,0.0018518
60.0,0.0017437
65.0,0.0016502
70.0,0.0015681
75.0,0.0014952
80.0,0.0014298
85.0,0.0013707
90.0,0.0013169
95.0,0.0012677
100.0,0.0012224
150.0,0.00091747
200.0,0.00076296
250.0,0.00067683
300.0,0.0006237
350.0,0.00058763
400.0,0.00056133
450.0,0.00054136
500.0,0.00052597
550.0,0.00051405
600.0,0.00050473
650.0,0.0004972
700.0,0.00049075
750.0,0.00048479
800.0,0.00047897
850.0,0.0004732
900.0,0.00046777
950.0,0.00046335
1000.0,0.00046103
