energy_MeV,niel_MeV_cm2_g
0.04,0.0
0.045,0.0
0.05,0.0
0.055,0.0
0.06,0.0
0.065,0.0
0.07,0.0
0.075,0.0
0.08,0.0
0.085,0.0
0.09,0.0
0.095,0.0
0.1,0.0
0.15,4.1203e-06
0.2,8.9272e-06
0.25,1.1884e-05
0.3,1.4002e-05
0.35,1.5671e-05
0.4,1.707e-05
0.45,1.8292e-05
0.5,1.9387e-05
0.55,2.0387e-05
0.6,2.1312e-05
0.65,2.2177e-05
0.7,2.2991e-05
0.75,2.3762e-05
0.8,2.4495e-05
0.85,2.5195e-05
0.9,2.5865e-05
0.95,2.651e-05
1.0,2.7129e-05
1.5,3.4333e-05
2.0,4.1134e-05
2.5,4.6909e-05
3.0,5.1806e-05
3.5,5.6016e-05
4.0,5.9686e-05
4.5,6.2928e-05
5.0,6.5824e-05
5.5,6.8433e-05
6.0,7.0805e-05
6.5,7.2974e-05
7.0,7.497e-05
7.5,7.6815e-05
8.0,7.8529e-05
8.5,8.0127e-05
9.0,8.1623e-05
9.5,8.3026e-05
10.0,8.4346e-05
15.0,9.431e-05
20.0,0.00010068
25.0,0.00010504
30.0,0.00010812
35.0,0.00011032
40.0,0.00011191
45.0,0.00011304
50.0,0.00011384
55.0,0.00011439
60.0,0.00011476
65.0,0.000115
70.0,0.00011513
75.0,0.00011519
80.0,0.0001152
85.0,0.00011516
90.0,0.0001151
95.0,0.00011502
100.0,0.00011492
