energy_MeV,niel_MeV_cm2_g
0.0001,0.31586
0.00015,0.78985
0.0002,1.0826
0.00025,1.2822
0.0003,1.4263
0.00035,1.5341
0.0004,1.6169
0.00045,1.6813
0.0005,1.7322
0.00055,1.7726
0.0006,1.8047
0.00065,1.8303
0.0007,1.8507
0.00075,1.8667
0.0008,1.8792
0.00085,1.8886
0.0009,1.8956
0.00095,1.9006
0.001,1.9037
0.0015,1.9647
0.002,1.9733
0.0025,1.9451
0.003,1.9024
0.0035,1.8542
0.004,1.8047
0.0045,1.7558
0.005,1.7085
0.0055,1.6631
0.006,1.6199
0.0065,1.5788
0.007,1.5398
0.0075,1.5028
0.008,1.4676
0.0085,1.4343
0.009,1.4026
0.0095,1.3724
0.01,1.3437
0.015,1.1172
0.02,0.96311
0.025,0.85063
0.03,0.76437
0.035,0.69579
0.04,0.63976
0.045,0.593
0.05,0.55331
0.055,0.51912
0.06,0.48933
0.065,0.4631
0.07,0.43982
0.075,0.41898
0.08,0.40022
0.085,0.38322
0.09,0.36774
0.095,0.35358
0.1,0.34056
0.15,0.25129
0.2,0.2013
0.25,0.16897
0.3,0.14619
0.35,0.12913
0.4,0.11557
0.45,0.10482
0.5,0.096055
0.55,0.088753
0.6,0.08257
0.65,0.077261
0.7,0.07265
0.75,0.068603
0.8,0.065021
0.85,0.061826
0.9,0.058958
0.95,0.056366
1.0,0.054013
1.5,0.037828
2.0,0.029158
2.5,0.023801
3.0,0.020156
3.5,0.017551
4.0,0.015606
4.5,0.01408
5.0,0.012847
5.5,0.011831
6.0,0.010989
6.5,0.010291
7.0,0.0097037
7.5,0.0091955
8.0,0.0087478
8.5,0.0083496
9.0,0.0079941
9.5,0.007676
10.0,0.0073907
15.0,0.0056753
20.0,0.0049092
25.0,0.0044592
30.0,0.004154
35.0,0.0039355
40.0,0.0037749
45.0,0.0036544
50.0,0.0035621
55.0,0.0034898
60.0,0.0034318
65.0,0.0033842
70.0,0.0033443
75.0,0.0033101
80.0,0.0032802
85.0,0.0032538
90.0,0.0032301
95.0,0.0032087
100.0,0.0031893
150.0,0.0030618
200.0,0.0030108
250.0,0.003015
300.0,0.0030624
350.0,0.0031425
400.0,0.003245
450.0,0.0033607
500.0,0.003481
550.0,0.0035991
600.0,0.0037093
650.0,0.0038079
700.0,0.0038924
750.0,0.003962
800.0,0.0040176
850.0,0.0040612
900.0,0.0040958
950.0,0.0041251
1000.0,0.0041539
