energy_MeV,niel_MeV_cm2_g
0.04,0.0
0.045,0.0
0.05,0.0
0.055,0.0
0.06,0.0
0.065,0.0
0.07,0.0
0.075,0.0
0.08,0.0
0.085,0.0
0.09,0.0
0.095,0.0
0.1,0.0
0.15,0.0
0.2,0.0
0.25,0.0
0.3,2.1275e-07
0.35,4.6548e-07
0.4,6.7957e-07
0.45,8.6885e-07
0.5,1.0409e-06
0.55,1.2002e-06
0.6,1.3495e-06
0.65,1.4907e-06
0.7,1.6252e-06
0.75,1.7538e-06
0.8,1.8772e-06
0.85,1.9961e-06
0.9,2.1107e-06
0.95,2.2215e-06
1.0,2.3288e-06
1.5,3.7477e-06
2.0,8.5798e-06
2.5,1.4058e-05
3.0,1.9111e-05
3.5,2.3586e-05
4.0,2.7528e-05
4.5,3.1015e-05
5.0,3.4121e-05
5.5,3.6909e-05
6.0,3.9429e-05
6.5,4.1721e-05
7.0,4.3819e-05
7.5,4.5748e-05
8.0,4.7531e-05
8.5,4.9185e-05
9.0,5.0725e-05
9.5,5.2164e-05
10.0,5.3511e-05
15.0,6.3487e-05
20.0,6.9658e-05
25.0,7.3761e-05
30.0,7.6576e-05
35.0,7.8525e-05
40.0,7.987e-05
45.0,8.0785e-05
50.0,8.1389e-05
55.0,8.1768e-05
60.0,8.1984e-05
65.0,8.2083e-05
70.0,8.2099e-05
75.0,8.2054e-05
80.0,8.1969e-05
85.0,8.1855e-05
90.0,8.1722e-05
95.0,8.1578e-05
100.0,8.1427e-05
