energy_MeV,niel_MeV_cm2_g
0.0001,0.0
0.00015,0.0
0.0002,0.0
0.00025,0.2193
0.0003,0.40308
0.00035,0.52981
0.0004,0.6196
0.00045,0.68431
0.0005,0.73138
0.00055,0.76571
0.0006,0.79063
0.00065,0.80846
0.0007,0.82089
0.00075,0.82915
0.0008,0.83416
0.00085,0.83663
0.0009,0.83708
0.00095,0.83593
0.001,0.83351
0.0015,0.77752
0.002,0.80034
0.0025,0.87406
0.003,0.91228
0.0035,0.93092
0.004,0.93797
0.0045,0.93783
0.005,0.9331
0.0055,0.92539
0.006,0.91575
0.0065,0.90486
0.007,0.89319
0.0075,0.88105
0.008,0.86869
0.0085,0.85625
0.009,0.84385
0.0095,0.83156
0.01,0.81945
0.015,0.71223
0.02,0.62966
0.025,0.56543
0.03,0.51419
0.035,0.47232
0.04,0.43742
0.045,0.40779
0.05,0.38206
0.055,0.35975
0.06,0.3402
0.065,0.32291
0.07,0.30748
0.075,0.29362
0.08,0.28109
0.085,0.26971
0.09,0.25931
0.095,0.24976
0.1,0.24097
0.15,0.17984
0.2,0.14467
0.25,0.12167
0.3,0.10535
0.35,0.093123
0.4,0.083471
0.45,0.075704
0.5,0.069369
0.55,0.064095
0.6,0.05963
0.65,0.055797
0.7,0.052469
0.75,0.049548
0.8,0.046963
0.85,0.044658
0.9,0.042589
0.95,0.040719
1.0,0.039022
1.5,0.027475
2.0,0.021307
2.5,0.017475
3.0,0.014853
3.5,0.012944
4.0,0.01153
4.5,0.010407
5.0,0.009479
5.5,0.0087121
6.0,0.0080798
6.5,0.0075633
7.0,0.0071359
7.5,0.0067694
8.0,0.0064455
8.5,0.0061544
9.0,0.0058913
9.5,0.0056533
10.0,0.0054381
15.0,0.0041611
20.0,0.0036568
25.0,0.0033832
30.0,0.0031993
35.0,0.0030688
40.0,0.0029771
45.0,0.0029146
50.0,0.0028734
55.0,0.0028471
60.0,0.0028306
65.0,0.0028205
70.0,0.0028142
75.0,0.0028101
80.0,0.0028073
85.0,0.0028053
90.0,0.0028037
95.0,0.0028024
100.0,0.0028015
150.0,0.0028195
200.0,0.0028851
250.0,0.00297
300.0,0.0030625
350.0,0.0031662
400.0,0.0032869
450.0,0.0034255
500.0,0.003578
550.0,0.0037357
600.0,0.0038876
650.0,0.0040229
700.0,0.0041329
750.0,0.0042137
800.0,0.004267
850.0,0.0043012
900.0,0.0043307
950.0,0.0043759
1000.0,0.0044633
