energy_MeV,niel_MeV_cm2_g
0.04,0.0
0.045,0.0
0.05,3.6789e-07
0.055,2.2527e-06
0.06,3.7087e-06
0.065,4.8543e-06
0.07,5.7696e-06
0.075,6.5108e-06
0.08,7.1179e-06
0.085,7.6204e-06
0.09,8.0402e-06
0.095,8.3937e-06
0.1,8.6937e-06
0.15,1.0185e-05
0.2,1.0691e-05
0.25,1.0966e-05
0.3,1.118e-05
0.35,1.138e-05
0.4,1.1579e-05
0.45,1.2282e-05
0.5,1.3618e-05
0.55,1.5024e-05
0.6,1.6452e-05
0.65,1.7875e-05
0.7,1.9277e-05
0.75,2.0647e-05
0.8,2.198e-05
0.85,2.3273e-05
0.9,2.4526e-05
0.95,2.5738e-05
1.0,2.6911e-05
1.5,3.6767e-05
2.0,4.4184e-05
2.5,5.0076e-05
3.0,5.4942e-05
3.5,5.9074e-05
4.0,6.2655e-05
4.5,6.581e-05
5.0,6.8622e-05
5.5,7.1156e-05
6.0,7.3458e-05
6.5,7.5564e-05
7.0,7.7501e-05
7.5,7.9293e-05
8.0,8.0958e-05
8.5,8.2511e-05
9.0,8.3965e-05
9.5,8.5329e-05
10.0,8.6612e-05
15.0,9.6308e-05
20.0,0.0001025
25.0,0.00010673
30.0,0.00010971
35.0,0.00011184
40.0,0.00011335
45.0,0.00011443
50.0,0.00011518
55.0,0.00011569
60.0,0.00011602
65.0,0.00011622
70.0,0.00011633
75.0,0.00011637
80.0,0.00011635
85.0,0.0001163
90.0,0.00011623
95.0,0.00011613
100.0,0.00011602
