energy_MeV,niel_MeV_cm2_g
0.0001,0.95955
0.00015,1.2094
0.0002,1.3568
0.00025,1.4517
0.0003,1.5155
0.00035,1.5893
0.0004,1.7035
0.00045,1.795
0.0005,1.8691
0.00055,1.93
0.0006,1.9803
0.00065,2.0221
0.0007,2.057
0.00075,2.0862
0.0008,2.1106
0.00085,2.1309
0.0009,2.1479
0.00095,2.1619
0.001,2.1735
0.0015,2.2056
0.002,2.1692
0.0025,2.1113
0.003,2.0473
0.0035,1.9832
0.004,1.9211
0.0045,1.8621
0.005,1.8064
0.0055,1.7541
0.006,1.7048
0.0065,1.6586
0.007,1.6151
0.0075,1.5741
0.008,1.5354
0.0085,1.4989
0.009,1.4643
0.0095,1.4316
0.01,1.4005
0.015,1.1583
0.02,0.9957
0.025,0.87778
0.03,0.7877
0.035,0.71629
0.04,0.65807
0.045,0.60955
0.05,0.56841
0.055,0.53301
0.06,0.5022
0.065,0.47509
0.07,0.45103
0.075,0.42952
0.08,0.41016
0.085,0.39263
0.09,0.37667
0.095,0.36207
0.1,0.34866
0.15,0.25721
0.2,0.20615
0.25,0.17312
0.3,0.14984
0.35,0.13239
0.4,0.11838
0.45,0.10725
0.5,0.098174
0.55,0.090625
0.6,0.084237
0.65,0.078757
0.7,0.074
0.75,0.069829
0.8,0.066139
0.85,0.06285
0.9,0.059898
0.95,0.057233
1.0,0.054815
1.5,0.03825
2.0,0.02945
2.5,0.024022
3.0,0.020332
3.5,0.017696
4.0,0.015728
4.5,0.014184
5.0,0.012937
5.5,0.01191
6.0,0.011057
6.5,0.010349
7.0,0.0097538
7.5,0.0092417
8.0,0.0087918
8.5,0.008392
9.0,0.0080348
9.5,0.0077148
10.0,0.0074275
15.0,0.0057007
20.0,0.0049274
25.0,0.0044604
30.0,0.0041372
35.0,0.0039073
40.0,0.0037432
45.0,0.0036253
50.0,0.0035389
55.0,0.0034738
60.0,0.0034227
65.0,0.0033806
70.0,0.0033445
75.0,0.0033123
80.0,0.0032829
85.0,0.0032557
90.0,0.0032302
95.0,0.0032064
100.0,0.0031841
150.0,0.0030475
200.0,0.0030292
250.0,0.0030642
300.0,0.0031216
350.0,0.0031959
400.0,0.0032887
450.0,0.0033999
500.0,0.0035255
550.0,0.0036576
600.0,0.0037863
650.0,0.0039015
700.0,0.0039951
750.0,0.0040631
800.0,0.0041067
850.0,0.0041334
900.0,0.004156
950.0,0.0041934
1000.0,0.0042698
