energy_MeV,niel_MeV_cm2_g
0.04,3.9467e-05
0.045,4.3482e-05
0.05,4.6071e-05
0.055,4.7742e-05
0.06,4.9773e-05
0.065,5.269e-05
0.07,5.4886e-05
0.075,5.6551e-05
0.08,5.7821e-05
0.085,5.879e-05
0.09,5.953e-05
0.095,6.0091e-05
0.1,6.0515e-05
0.15,6.1352e-05
0.2,6.07e-05
0.25,6.0189e-05
0.3,5.9988e-05
0.35,6.0055e-05
0.4,6.0328e-05
0.45,6.0752e-05
0.5,6.1286e-05
0.55,6.1899e-05
0.6,6.2569e-05
0.65,6.3278e-05
0.7,6.4015e-05
0.75,6.477e-05
0.8,6.5536e-05
0.85,6.6308e-05
0.9,6.708e-05
0.95,6.7851e-05
1.0,6.8617e-05
1.5,7.5802e-05
2.0,8.1953e-05
2.5,8.7198e-05
3.0,9.1725e-05
3.5,9.5683e-05
4.0,9.9186e-05
4.5,0.00010232
5.0,0.00010514
5.5,0.00010771
6.0,0.00011006
6.5,0.00011221
7.0,0.00011421
7.5,0.00011606
8.0,0.00011779
8.5,0.0001194
9.0,0.00012091
9.5,0.00012233
10.0,0.00012367
15.0,0.00013382
20.0,0.00014037
25.0,0.00014492
30.0,0.00014823
35.0,0.00015071
40.0,0.00015261
45.0,0.00015408
50.0,0.00015524
55.0,0.00015616
60.0,0.00015689
65.0,0.00015748
70.0,0.00015796
75.0,0.00015835
80.0,0.00015866
85.0,0.00015892
90.0,0.00015914
95.0,0.00015932
100.0,0.00015946
