energy_MeV,niel_MeV_cm2_g
0.0001,10.746
0.00015,12.075
0.0002,12.682
0.00025,12.95
0.0003,13.037
0.00035,13.02
0.0004,12.939
0.00045,12.819
0.0005,12.676
0.00055,12.517
0.0006,12.35
0.00065,12.179
0.0007,12.006
0.00075,11.833
0.0008,11.662
0.00085,11.493
0.0009,11.328
0.00095,11.166
0.001,11.008
0.0015,9.6402
0.002,8.5965
0.0025,7.7804
0.003,7.1242
0.0035,6.5837
0.004,6.1297
0.0045,5.742
0.005,5.4065
0.0055,5.1129
0.006,4.8533
0.0065,4.622
0.007,4.4143
0.0075,4.2267
0.008,4.0562
0.0085,3.9004
0.009,3.7576
0.0095,3.626
0.01,3.5043
0.015,2.6484
0.02,2.1495
0.025,1.8189
0.03,1.582
0.035,1.4031
0.04,1.2628
0.045,1.1495
0.05,1.056
0.055,0.97776
0.06,0.91123
0.065,0.8539
0.07,0.80392
0.075,0.75994
0.08,0.7209
0.085,0.686
0.09,0.65459
0.095,0.62616
0.1,0.6003
0.15,0.42889
0.2,0.33275
0.25,0.27282
0.3,0.23185
0.35,0.20198
0.4,0.17919
0.45,0.16054
0.5,0.14543
0.55,0.13295
0.6,0.12248
0.65,0.11356
0.7,0.10586
0.75,0.099161
0.8,0.093269
0.85,0.088047
0.9,0.083386
0.95,0.0792
1.0,0.075419
1.5,0.051159
2.0,0.038788
2.5,0.031271
3.0,0.026218
3.5,0.022652
4.0,0.020276
4.5,0.018422
5.0,0.016824
5.5,0.015513
6.0,0.014448
6.5,0.013574
7.0,0.012843
7.5,0.012215
8.0,0.011665
8.5,0.011171
9.0,0.010723
9.5,0.010312
10.0,0.0099346
15.0,0.0074805
20.0,0.0063615
25.0,0.0057208
30.0,0.0052496
35.0,0.0048527
40.0,0.0045079
45.0,0.0042106
50.0,0.0039564
55.0,0.0037392
60.0,0.0035522
65.0,0.0033892
70.0,0.003245
75.0,0.0031159
80.0,0.0029986
85.0,0.0028911
90.0,0.0027917
95.0,0.0026993
100.0,0.0026131
150.0,0.0020023
200.0,0.0016939
250.0,0.0015386
300.0,0.0014533
350.0,0.0013997
400.0,0.0013624
450.0,0.0013361
500.0,0.0013185
550.0,0.0013081
600.0,0.0013026
650.0,0.0012998
700.0,0.0012968
750.0,0.0012916
800.0,0.001283
850.0,0.0012716
900.0,0.0012597
950.0,0.0012519
1000.0,0.0012551
