energy_MeV,niel_MeV_cm2_g
0.04,0.0
0.045,0.0
0.05,0.0
0.055,0.0
0.06,0.0
0.065,0.0
0.07,0.0
0.075,0.0
0.08,0.0
0.085,0.0
0.09,0.0
0.095,0.0
0.1,0.0
0.15,0.0
0.2,4.2541e-06
0.25,8.9112e-06
0.3,1.2261e-05
0.35,1.4914e-05
0.4,1.715e-05
0.45,1.9113e-05
0.5,2.0884e-05
0.55,2.2512e-05
0.6,2.403e-05
0.65,2.5457e-05
0.7,2.6809e-05
0.75,2.8096e-05
0.8,2.9327e-05
0.85,3.0509e-05
0.9,3.1645e-05
0.95,3.2741e-05
1.0,3.3799e-05
1.5,4.2814e-05
2.0,4.9866e-05
2.5,5.5653e-05
3.0,6.0547e-05
3.5,6.4778e-05
4.0,6.8496e-05
4.5,7.1806e-05
5.0,7.4785e-05
5.5,7.7489e-05
6.0,7.9961e-05
6.5,8.2236e-05
7.0,8.4341e-05
7.5,8.6297e-05
8.0,8.8122e-05
8.5,8.9832e-05
9.0,9.1438e-05
9.5,9.2952e-05
10.0,9.4382e-05
15.0,0.00010539
20.0,0.00011273
25.0,0.000118
30.0,0.00012196
35.0,0.000125
40.0,0.00012738
45.0,0.00012927
50.0,0.00013077
55.0,0.00013198
60.0,0.00013295
65.0,0.00013374
70.0,0.00013437
75.0,0.00013489
80.0,0.00013532
85.0,0.00013566
90.0,0.00013595
95.0,0.00013618
100.0,0.00013637
