energy_MeV,niel_MeV_cm2_g
0.0001,0.0
0.00015,1.2086
0.0002,2.2481
0.00025,2.9484
0.0003,3.4486
0.00035,3.8194
0.0004,4.1011
0.00045,4.3188
0.0005,4.4888
0.00055,4.6224
0.0006,4.7277
0.00065,4.8106
0.0007,4.8755
0.00075,4.9257
0.0008,4.9638
0.00085,4.9921
0.0009,5.0121
0.00095,5.0251
0.001,5.0323
0.0015,4.9241
0.002,4.6936
0.0025,4.4469
0.003,4.2121
0.0035,3.9966
0.004,3.8009
0.0045,3.6238
0.005,3.4632
0.0055,3.3173
0.006,3.1842
0.0065,3.0624
0.007,2.9506
0.0075,2.8474
0.008,2.7521
0.0085,2.6636
0.009,2.5813
0.0095,2.5044
0.01,2.4326
0.015,1.9051
0.02,1.5796
0.025,1.3565
0.03,1.1929
0.035,1.0673
0.04,0.96747
0.045,0.88601
0.05,0.81814
0.055,0.76065
0.06,0.71125
0.065,0.66831
0.07,0.63061
0.075,0.59721
0.08,0.5674
0.085,0.54062
0.09,0.51642
0.095,0.49443
0.1,0.47435
0.15,0.33984
0.2,0.26768
0.25,0.22244
0.3,0.19122
0.35,0.1677
0.4,0.14949
0.45,0.13447
0.5,0.12224
0.55,0.11212
0.6,0.10359
0.65,0.096308
0.7,0.090008
0.75,0.084505
0.8,0.079655
0.85,0.075346
0.9,0.071492
0.95,0.068023
1.0,0.064885
1.5,0.044577
2.0,0.034086
2.5,0.027679
3.0,0.023396
3.5,0.020412
4.0,0.018264
4.5,0.016626
5.0,0.015327
5.5,0.014269
6.0,0.013391
6.5,0.012652
7.0,0.01202
7.5,0.011475
8.0,0.010999
8.5,0.010581
9.0,0.010211
9.5,0.0098818
10.0,0.0095872
15.0,0.0077692
20.0,0.0068445
25.0,0.0062198
30.0,0.0057486
35.0,0.0053807
40.0,0.0050878
45.0,0.0048492
50.0,0.0046495
55.0,0.0044775
60.0,0.0043252
65.0,0.0041873
70.0,0.0040599
75.0,0.0039409
80.0,0.0038286
85.0,0.0037222
90.0,0.0036212
95.0,0.0035252
100.0,0.003434
150.0,0.0027636
200.0,0.0024181
250.0,0.0022425
300.0,0.0021452
350.0,0.0020836
400.0,0.0020405
450.0,0.0020095
500.0,0.0019878
550.0,0.0019732
600.0,0.0019629
650.0,0.0019542
700.0,0.0019446
750.0,0.0019322
800.0,0.001917
850.0,0.0019004
900.0,0.0018864
950.0,0.0018813
1000.0,0.001894
