energy_MeV,niel_MeV_cm2_g
0.04,7.9052e-07
0.045,1.7035e-06
0.05,2.3533e-06
0.055,2.827e-06
0.06,3.1788e-06
0.065,3.4442e-06
0.07,3.6466e-06
0.075,3.8025e-06
0.08,3.9234e-06
0.085,4.0176e-06
0.09,4.0912e-06
0.095,4.1488e-06
0.1,4.2448e-06
0.15,5.6955e-06
0.2,7.8963e-06
0.25,1.047e-05
0.3,1.2286e-05
0.35,1.3724e-05
0.4,1.4948e-05
0.45,1.6036e-05
0.5,1.7287e-05
0.55,1.849e-05
0.6,1.9647e-05
0.65,2.0764e-05
0.7,2.1844e-05
0.75,2.289e-05
0.8,2.3904e-05
0.85,2.4888e-05
0.9,2.5844e-05
0.95,2.6773e-05
1.0,2.7676e-05
1.5,3.5531e-05
2.0,4.178e-05
2.5,4.6926e-05
3.0,5.1274e-05
3.5,5.502e-05
4.0,5.8299e-05
4.5,6.1203e-05
5.0,6.3802e-05
5.5,6.6148e-05
6.0,6.8281e-05
6.5,7.0232e-05
7.0,7.2025e-05
7.5,7.3682e-05
8.0,7.5218e-05
8.5,7.6648e-05
9.0,7.7984e-05
9.5,7.9235e-05
10.0,8.0409e-05
15.0,8.9177e-05
20.0,9.469e-05
25.0,9.8456e-05
30.0,0.00010116
35.0,0.00010315
40.0,0.00010467
45.0,0.00010583
50.0,0.00010674
55.0,0.00010745
60.0,0.00010802
65.0,0.00010847
70.0,0.00010883
75.0,0.00010913
80.0,0.00010937
85.0,0.00010956
90.0,0.00010972
95.0,0.00010985
100.0,0.00010996
