energy_MeV,niel_MeV_cm2_g
0.0001,3.381
0.00015,5.1208
0.0002,6.715
0.00025,7.5857
0.0003,8.0771
0.00035,8.3498
0.0004,8.5457
0.00045,8.6748
0.0005,8.7348
0.00055,8.7472
0.0006,8.7264
0.00065,8.682
0.0007,8.6209
0.00075,8.5479
0.0008,8.4666
0.00085,8.3796
0.0009,8.2887
0.00095,8.1954
0.001,8.1008
0.0015,7.1909
0.002,6.4379
0.0025,5.8328
0.003,5.3403
0.0035,4.9323
0.004,4.5885
0.0045,4.2945
0.005,4.0399
0.0055,3.8171
0.006,3.6202
0.0065,3.4447
0.007,3.2872
0.0075,3.1451
0.008,3.0159
0.0085,2.8981
0.009,2.79
0.0095,2.6905
0.01,2.5986
0.015,1.9538
0.02,1.5792
0.025,1.3322
0.03,1.1561
0.035,1.0231
0.04,0.91932
0.045,0.83583
0.05,0.76706
0.055,0.70826
0.06,0.65819
0.065,0.6152
0.07,0.57783
0.075,0.54505
0.08,0.51602
0.085,0.49014
0.09,0.46685
0.095,0.44572
0.1,0.42654
0.15,0.30073
0.2,0.23228
0.25,0.1897
0.3,0.16065
0.35,0.13951
0.4,0.12342
0.45,0.11075
0.5,0.10049
0.55,0.091898
0.6,0.084684
0.65,0.078537
0.7,0.073236
0.75,0.068615
0.8,0.064551
0.85,0.060948
0.9,0.057732
0.95,0.054843
1.0,0.052234
1.5,0.035472
2.0,0.026916
2.5,0.021713
3.0,0.018211
3.5,0.015723
4.0,0.01412
4.5,0.012865
5.0,0.01176
5.5,0.010855
6.0,0.010125
6.5,0.0095324
7.0,0.0090399
7.5,0.0086195
8.0,0.0082501
8.5,0.0079172
9.0,0.0076124
9.5,0.0073307
10.0,0.0070696
15.0,0.0053623
20.0,0.004623
25.0,0.0042271
30.0,0.003934
35.0,0.0036715
40.0,0.0034299
45.0,0.0032131
50.0,0.0030237
55.0,0.0028601
60.0,0.0027191
65.0,0.0025966
70.0,0.0024891
75.0,0.0023935
80.0,0.0023074
85.0,0.0022292
90.0,0.0021573
95.0,0.0020908
100.0,0.002029
150.0,0.0015906
200.0,0.001364
250.0,0.0012488
300.0,0.0011876
350.0,0.0011526
400.0,0.0011316
450.0,0.0011191
500.0,0.0011126
550.0,0.0011104
600.0,0.0011107
650.0,0.0011118
700.0,0.0011121
750.0,0.0011101
800.0,0.0011055
850.0,0.0010984
900.0,0.0010906
950.0,0.0010851
1000.0,0.0010862
