energy_MeV,niel_MeV_cm2_g
0.04,0.0
0.045,0.0
0.05,0.0
0.055,0.0
0.06,0.0
0.065,0.0
0.07,0.0
0.075,0.0
0.08,0.0
0.085,0.0
0.09,0.0
0.095,0.0
0.1,0.0
0.15,1.4524e-06
0.2,3.0111e-06
0.25,4.6342e-06
0.3,5.7756e-06
0.35,6.6714e-06
0.4,7.4257e-06
0.45,8.09e-06
0.5,8.6927e-06
0.55,9.2501e-06
0.6,9.7725e-06
0.65,1.0267e-05
0.7,1.0737e-05
0.75,1.1188e-05
0.8,1.162e-05
0.85,1.2228e-05
0.9,1.2925e-05
0.95,1.3669e-05
1.0,1.4446e-05
1.5,2.249e-05
2.0,2.9568e-05
2.5,3.5486e-05
3.0,4.0482e-05
3.5,4.4769e-05
4.0,4.8505e-05
4.5,5.1804e-05
5.0,5.475e-05
5.5,5.7405e-05
6.0,5.9817e-05
6.5,6.2022e-05
7.0,6.4051e-05
7.5,6.5926e-05
8.0,6.7666e-05
8.5,6.9288e-05
9.0,7.0805e-05
9.5,7.2227e-05
10.0,7.3565e-05
15.0,8.3635e-05
20.0,9.0052e-05
25.0,9.4454e-05
30.0,9.7591e-05
35.0,9.9871e-05
40.0,0.00010155
45.0,0.00010278
50.0,0.0001037
55.0,0.00010437
60.0,0.00010487
65.0,0.00010522
70.0,0.00010548
75.0,0.00010565
80.0,0.00010577
85.0,0.00010584
90.0,0.00010587
95.0,0.00010589
100.0,0.00010588
