energy_MeV,niel_MeV_cm2_g
0.0001,0.28702
0.00015,1.0591
0.0002,1.9265
0.00025,2.458
0.0003,2.8025
0.00035,3.0327
0.0004,3.1884
0.00045,3.2935
0.0005,3.3631
0.00055,3.4071
0.0006,3.4323
0.00065,3.4435
0.0007,3.4441
0.00075,3.4368
0.0008,3.4233
0.00085,3.4449
0.0009,3.4611
0.00095,3.4713
0.001,3.4765
0.0015,3.3881
0.002,3.2159
0.0025,3.0398
0.003,2.877
0.0035,2.7304
0.004,2.599
0.0045,2.481
0.005,2.3748
0.0055,2.2786
0.006,2.1911
0.0065,2.1112
0.007,2.0378
0.0075,1.9702
0.008,1.9077
0.0085,1.8496
0.009,1.7956
0.0095,1.7451
0.01,1.6978
0.015,1.3484
0.02,1.1297
0.025,0.97796
0.03,0.86557
0.035,0.7785
0.04,0.70879
0.045,0.65156
0.05,0.60362
0.055,0.56241
0.06,0.52686
0.065,0.49595
0.07,0.46879
0.075,0.44471
0.08,0.42321
0.085,0.40385
0.09,0.38634
0.095,0.37043
0.1,0.3559
0.15,0.25835
0.2,0.20399
0.25,0.16929
0.3,0.14485
0.35,0.12676
0.4,0.1129
0.45,0.10193
0.5,0.093009
0.55,0.085606
0.6,0.079358
0.65,0.074011
0.7,0.069378
0.75,0.065324
0.8,0.061745
0.85,0.05856
0.9,0.055626
0.95,0.052956
1.0,0.050538
1.5,0.034865
2.0,0.026744
2.5,0.021754
3.0,0.018368
3.5,0.015932
4.0,0.014251
4.5,0.012921
5.0,0.011778
5.5,0.010836
6.0,0.01008
6.5,0.0094683
7.0,0.0089551
7.5,0.0085111
8.0,0.0081185
8.5,0.0077663
9.0,0.0074477
9.5,0.0071577
10.0,0.0068931
15.0,0.0052314
20.0,0.0045313
25.0,0.004179
30.0,0.0039448
35.0,0.0037508
40.0,0.0035777
45.0,0.0034237
50.0,0.0032895
55.0,0.0031748
60.0,0.003078
65.0,0.0029967
70.0,0.0029287
75.0,0.0028716
80.0,0.0028233
85.0,0.0027822
90.0,0.0027466
95.0,0.0027155
100.0,0.0026878
150.0,0.0024918
200.0,0.0023555
250.0,0.0022847
300.0,0.0022795
350.0,0.0023217
400.0,0.0023908
450.0,0.0024701
500.0,0.0025483
550.0,0.0026195
600.0,0.0026819
650.0,0.0027361
700.0,0.0027836
750.0,0.0028258
800.0,0.0028628
850.0,0.0028934
900.0,0.0029144
950.0,0.0029212
1000.0,0.0029075
