energy_MeV,niel_MeV_cm2_g
0.04,7.039e-06
0.045,1.014e-05
0.05,1.2322e-05
0.055,1.3893e-05
0.06,1.5043e-05
0.065,1.5896e-05
0.07,1.6534e-05
0.075,1.7015e-05
0.08,1.7378e-05
0.085,1.7651e-05
0.09,1.7857e-05
0.095,1.801e-05
0.1,1.8123e-05
0.15,1.8314e-05
0.2,1.8895e-05
0.25,2.1439e-05
0.3,2.3735e-05
0.35,2.566e-05
0.4,2.7365e-05
0.45,2.8923e-05
0.5,3.0375e-05
0.55,3.1744e-05
0.6,3.3047e-05
0.65,3.4293e-05
0.7,3.5489e-05
0.75,3.664e-05
0.8,3.775e-05
0.85,3.8823e-05
0.9,3.9861e-05
0.95,4.0867e-05
1.0,4.1843e-05
1.5,5.0265e-05
2.0,5.6928e-05
2.5,6.2415e-05
3.0,6.7062e-05
3.5,7.1078e-05
4.0,7.4606e-05
4.5,7.7745e-05
5.0,8.0566e-05
5.5,8.3124e-05
6.0,8.546e-05
6.5,8.7607e-05
7.0,8.9589e-05
7.5,9.1429e-05
8.0,9.3143e-05
8.5,9.4746e-05
9.0,9.6249e-05
9.5,9.7663e-05
10.0,9.8996e-05
15.0,0.00010916
20.0,0.00011578
25.0,0.00012043
30.0,0.00012383
35.0,0.00012638
40.0,0.00012832
45.0,0.00012981
50.0,0.00013097
55.0,0.00013188
60.0,0.00013259
65.0,0.00013314
70.0,0.00013357
75.0,0.00013392
80.0,0.00013418
85.0,0.00013439
90.0,0.00013455
95.0,0.00013468
100.0,0.00013477
