energy_MeV,niel_MeV_cm2_g
0.0001,3.9752
0.00015,4.8957
0.0002,5.6061
0.00025,6.0287
0.0003,6.2894
0.00035,6.451
0.0004,6.548
0.00045,6.6012
0.0005,6.624
0.00055,6.625
0.0006,6.6103
0.00065,6.5841
0.0007,6.5494
0.00075,6.5086
0.0008,6.4631
0.00085,6.4144
0.0009,6.3632
0.00095,6.3104
0.001,6.2566
0.0015,5.7203
0.002,5.2513
0.0025,4.8574
0.003,4.5253
0.0035,4.2421
0.004,3.9974
0.0045,3.7838
0.005,3.5953
0.0055,3.4275
0.006,3.2771
0.0065,3.1413
0.007,3.018
0.0075,2.9054
0.008,2.8022
0.0085,2.707
0.009,2.619
0.0095,2.5374
0.01,2.4614
0.015,1.9122
0.02,1.5796
0.025,1.3535
0.03,1.1886
0.035,1.0624
0.04,0.96226
0.045,0.8807
0.05,0.81283
0.055,0.75541
0.06,0.70623
0.065,0.6636
0.07,0.62624
0.075,0.59321
0.08,0.56377
0.085,0.53731
0.09,0.51342
0.095,0.49175
0.1,0.47198
0.15,0.34012
0.2,0.26632
0.25,0.21979
0.3,0.1876
0.35,0.16405
0.4,0.14603
0.45,0.13177
0.5,0.12019
0.55,0.11059
0.6,0.10249
0.65,0.095388
0.7,0.089089
0.75,0.08359
0.8,0.078746
0.85,0.074447
0.9,0.070604
0.95,0.067148
1.0,0.064022
1.5,0.043852
2.0,0.033475
2.5,0.027128
3.0,0.022838
3.5,0.019759
4.0,0.01763
4.5,0.016
5.0,0.014635
5.5,0.013507
6.0,0.012577
6.5,0.011805
7.0,0.011156
7.5,0.010603
8.0,0.010124
8.5,0.009703
9.0,0.0093281
9.5,0.0089915
10.0,0.0086874
15.0,0.0067749
20.0,0.0058755
25.0,0.0053566
30.0,0.0049963
35.0,0.0047105
40.0,0.0044689
45.0,0.0042601
50.0,0.0040776
55.0,0.003917
60.0,0.0037747
65.0,0.0036476
70.0,0.0035336
75.0,0.0034307
80.0,0.0033374
85.0,0.0032525
90.0,0.003175
95.0,0.0031041
100.0,0.0030391
150.0,0.0026116
200.0,0.0024009
250.0,0.0022792
300.0,0.0022046
350.0,0.0021637
400.0,0.0021496
450.0,0.0021562
500.0,0.0021766
550.0,0.0022037
600.0,0.0022305
650.0,0.0022511
700.0,0.0022615
750.0,0.0022601
800.0,0.0022483
850.0,0.0022301
900.0,0.0022122
950.0,0.0022034
1000.0,0.0022151
