energy_MeV,niel_MeV_cm2_g
0.04,2.0643e-05
0.045,1.9026e-05
0.05,2.0169e-05
0.055,2.2164e-05
0.06,2.3599e-05
0.065,2.464e-05
0.07,2.5399e-05
0.075,2.5953e-05
0.08,2.6354e-05
0.085,2.6643e-05
0.09,2.6845e-05
0.095,2.8243e-05
0.1,2.9809e-05
0.15,3.8128e-05
0.2,4.1435e-05
0.25,4.3363e-05
0.3,4.4809e-05
0.35,4.6059e-05
0.4,4.7216e-05
0.45,4.8322e-05
0.5,4.9391e-05
0.55,5.0431e-05
0.6,5.1445e-05
0.65,5.2435e-05
0.7,5.3402e-05
0.75,5.4346e-05
0.8,5.5268e-05
0.85,5.6168e-05
0.9,5.7048e-05
0.95,5.7907e-05
1.0,5.8746e-05
1.5,6.6179e-05
2.0,7.2223e-05
2.5,7.7265e-05
3.0,8.1565e-05
3.5,8.5297e-05
4.0,8.8585e-05
4.5,9.1514e-05
5.0,9.415e-05
5.5,9.6541e-05
6.0,9.8725e-05
6.5,0.00010073
7.0,0.00010258
7.5,0.0001043
8.0,0.0001059
8.5,0.0001074
9.0,0.0001088
9.5,0.00011012
10.0,0.00011136
15.0,0.00012075
20.0,0.00012676
25.0,0.00013088
30.0,0.0001338
35.0,0.00013591
40.0,0.00013746
45.0,0.0001386
50.0,0.00013943
55.0,0.00014004
60.0,0.00014048
65.0,0.00014079
70.0,0.00014101
75.0,0.00014116
80.0,0.00014125
85.0,0.00014131
90.0,0.00014133
95.0,0.00014133
100.0,0.00014131
